#item,x,y,width,height,label
0,544.0,708.0,102.0,85.0,1
1,960.0,883.0,64.0,96.0,1
2,781.0,957.0,131.0,59.0,1
3,712.0,408.0,79.0,110.0,1
4,1.0,420.0,98.0,106.0,1
5,827.0,377.0,95.0,110.0,1
6,867.0,606.0,58.0,66.0,1
7,393.0,6.0,94.0,88.0,1
8,103.0,518.0,138.0,51.0,1
9,744.0,804.0,69.0,69.0,1
10,628.0,690.0,86.0,63.0,1
11,104.0,666.0,190.0,89.0,1
12,129.0,237.0,94.0,78.0,1
13,809.0,262.0,83.0,88.0,1
14,200.0,731.0,94.0,65.0,1
15,256.0,311.0,98.0,83.0,1
16,924.0,92.0,84.0,127.0,1
17,528.0,782.0,88.0,120.0,1
18,663.0,21.0,98.0,96.0,1
19,221.0,467.0,192.0,102.0,1
20,219.0,891.0,95.0,133.0,1
