#item,x,y,width,height,label
0,63.0,557.0,67.0,75.0,1
1,166.0,862.0,64.0,162.0,1
2,662.0,256.0,67.0,53.0,1
3,693.0,570.0,72.0,93.0,1
4,0.0,614.0,137.0,99.0,1
5,754.0,917.0,65.0,105.0,1
6,886.0,866.0,79.0,85.0,1
7,397.0,263.0,59.0,68.0,1
8,356.0,702.0,71.0,73.0,1
9,47.0,728.0,98.0,132.0,1
10,728.0,230.0,99.0,74.0,1
11,40.0,892.0,78.0,73.0,1
12,570.0,153.0,62.0,83.0,1
13,1.0,143.0,76.0,76.0,1
14,467.0,252.0,121.0,94.0,1
15,818.0,186.0,55.0,55.0,1
16,667.0,338.0,98.0,97.0,1
17,240.0,891.0,92.0,57.0,1
18,663.0,439.0,67.0,70.0,1
19,620.0,561.0,75.0,102.0,1
20,77.0,391.0,90.0,68.0,1
21,956.0,738.0,68.0,83.0,1
22,633.0,990.0,53.0,34.0,1
23,113.0,61.0,61.0,60.0,1
24,0.0,0.0,87.0,75.0,1
25,662.0,194.0,70.0,64.0,1
26,333.0,548.0,108.0,90.0,1
27,451.0,391.0,76.0,75.0,1
28,684.0,36.0,43.0,65.0,1
29,529.0,625.0,79.0,158.0,1
30,122.0,207.0,212.0,96.0,1
31,799.0,428.0,81.0,201.0,1
32,710.0,16.0,36.0,70.0,1
33,298.0,381.0,134.0,82.0,1
34,748.0,166.0,50.0,57.0,1
35,262.0,142.0,70.0,59.0,1
36,431.0,49.0,98.0,76.0,1
37,780.0,336.0,58.0,47.0,1
38,159.0,0.0,70.0,40.0,1
39,230.0,0.0,90.0,122.0,1
40,628.0,860.0,92.0,87.0,1
41,553.0,458.0,77.0,85.0,1
42,331.0,913.0,78.0,83.0,1
43,758.0,820.0,68.0,64.0,1
