#item,x,y,width,height,label
0,186.0,836.0,54.0,101.0,1
1,75.0,665.0,97.0,68.0,1
2,570.0,946.0,53.0,78.0,1
3,922.0,489.0,98.0,101.0,1
4,500.0,950.0,80.0,74.0,1
5,0.0,485.0,62.0,54.0,1
6,578.0,695.0,71.0,60.0,1
7,322.0,813.0,58.0,62.0,1
8,112.0,373.0,75.0,61.0,1
9,0.0,623.0,48.0,78.0,1
10,713.0,810.0,139.0,84.0,1
11,224.0,0.0,66.0,55.0,1
12,776.0,351.0,153.0,105.0,1
13,798.0,956.0,54.0,67.0,1
14,223.0,329.0,75.0,58.0,1
15,549.0,588.0,90.0,57.0,1
16,590.0,381.0,79.0,146.0,1
17,250.0,870.0,57.0,115.0,1
18,506.0,1.0,73.0,128.0,1
19,101.0,815.0,64.0,89.0,1
20,979.0,185.0,45.0,76.0,1
21,518.0,89.0,165.0,80.0,1
22,104.0,511.0,135.0,64.0,1
23,111.0,286.0,80.0,61.0,1
24,792.0,182.0,95.0,116.0,1
25,928.0,0.0,53.0,97.0,1
26,269.0,453.0,59.0,104.0,1
27,589.0,873.0,75.0,77.0,1
28,653.0,761.0,52.0,68.0,1
29,204.0,645.0,89.0,85.0,1
30,0.0,859.0,78.0,123.0,1
31,114.0,729.0,86.0,62.0,1
32,943.0,852.0,81.0,73.0,1
33,335.0,272.0,57.0,79.0,1
34,74.0,643.0,33.0,40.0,1
35,343.0,907.0,65.0,102.0,1
36,10.0,821.0,48.0,56.0,1
37,301.0,875.0,68.0,82.0,1
38,744.0,479.0,138.0,65.0,1
39,449.0,434.0,65.0,69.0,1
40,393.0,284.0,63.0,55.0,1
41,702.0,740.0,70.0,66.0,1
42,190.0,179.0,150.0,58.0,1
43,0.0,194.0,67.0,70.0,1
44,679.0,920.0,99.0,82.0,1
45,931.0,598.0,67.0,115.0,1
46,489.0,311.0,89.0,88.0,1
47,231.0,834.0,74.0,58.0,1
48,795.0,576.0,53.0,65.0,1
49,322.0,357.0,69.0,114.0,1
50,3.0,101.0,64.0,75.0,1
