#item,x,y,width,height,label
0,163.0,367.0,102.0,105.0,1
1,22.0,603.0,77.0,157.0,1
2,699.0,123.0,92.0,61.0,1
3,652.0,28.0,82.0,82.0,1
4,244.0,204.0,95.0,119.0,1
5,871.0,451.0,101.0,102.0,1
6,450.0,792.0,94.0,94.0,1
7,0.0,8.0,76.0,90.0,1
8,720.0,204.0,120.0,78.0,1
9,924.0,692.0,100.0,53.0,1
10,379.0,297.0,116.0,79.0,1
11,331.0,95.0,132.0,62.0,1
12,92.0,938.0,115.0,66.0,1
13,608.0,671.0,80.0,118.0,1
14,714.0,539.0,82.0,109.0,1
15,696.0,688.0,83.0,81.0,1
16,926.0,2.0,85.0,109.0,1
17,16.0,402.0,113.0,175.0,1
18,539.0,484.0,134.0,87.0,1
19,323.0,630.0,139.0,126.0,1
20,536.0,702.0,133.0,185.0,1
21,786.0,918.0,90.0,106.0,1
22,507.0,146.0,60.0,88.0,1
23,52.0,112.0,90.0,89.0,1
24,779.0,792.0,80.0,57.0,1
25,448.0,65.0,141.0,97.0,1
26,168.0,767.0,114.0,126.0,1
27,719.0,751.0,65.0,69.0,1
28,337.0,902.0,68.0,122.0,1
29,231.0,984.0,63.0,40.0,1
30,1.0,102.0,19.0,72.0,1
31,382.0,379.0,70.0,121.0,1
32,559.0,892.0,90.0,60.0,1
33,111.0,227.0,95.0,127.0,1
34,831.0,597.0,80.0,64.0,1
35,59.0,64.0,61.0,60.0,1
36,2.0,867.0,74.0,53.0,1
