#item,x,y,width,height,label
0,567.0,3.0,154.0,59.0,1
1,627.0,524.0,90.0,85.0,1
2,721.0,136.0,72.0,67.0,1
3,695.0,0.0,118.0,54.0,1
4,0.0,730.0,61.0,91.0,1
5,105.0,500.0,60.0,78.0,1
6,978.0,121.0,46.0,61.0,1
7,58.0,389.0,60.0,96.0,1
8,108.0,786.0,87.0,70.0,1
9,438.0,383.0,55.0,53.0,1
10,436.0,949.0,80.0,75.0,1
11,619.0,818.0,127.0,73.0,1
12,253.0,205.0,67.0,61.0,1
13,166.0,909.0,90.0,64.0,1
14,768.0,510.0,203.0,114.0,1
15,126.0,253.0,71.0,72.0,1
16,937.0,217.0,87.0,73.0,1
17,150.0,154.0,125.0,68.0,1
18,902.0,763.0,122.0,132.0,1
19,565.0,717.0,71.0,59.0,1
20,346.0,843.0,98.0,78.0,1
21,243.0,829.0,81.0,69.0,1
22,383.0,150.0,194.0,83.0,1
23,665.0,956.0,79.0,68.0,1
24,0.0,595.0,126.0,122.0,1
25,381.0,701.0,53.0,49.0,1
26,173.0,692.0,190.0,76.0,1
27,0.0,403.0,26.0,94.0,1
28,454.0,243.0,74.0,73.0,1
29,245.0,296.0,138.0,175.0,1
30,528.0,345.0,175.0,164.0,1
31,219.0,633.0,115.0,66.0,1
32,754.0,270.0,130.0,141.0,1
33,615.0,144.0,74.0,61.0,1
34,399.0,547.0,258.0,104.0,1
35,132.0,979.0,80.0,45.0,1
36,345.0,757.0,100.0,76.0,1
