#item,x,y,width,height,label
0,340.0,318.0,61.0,87.0,1
1,164.0,302.0,88.0,70.0,1
2,554.0,745.0,130.0,98.0,1
3,247.0,567.0,84.0,71.0,1
4,201.0,637.0,76.0,64.0,1
5,164.0,205.0,79.0,117.0,1
6,59.0,562.0,83.0,63.0,1
7,0.0,16.0,52.0,68.0,1
8,942.0,630.0,81.0,59.0,1
9,795.0,559.0,61.0,69.0,1
10,853.0,773.0,95.0,95.0,1
11,368.0,75.0,80.0,54.0,1
12,579.0,173.0,63.0,69.0,1
13,905.0,957.0,68.0,59.0,1
14,486.0,692.0,66.0,57.0,1
15,440.0,566.0,76.0,72.0,1
16,20.0,230.0,107.0,99.0,1
17,362.0,0.0,81.0,72.0,1
18,389.0,873.0,58.0,79.0,1
19,918.0,61.0,58.0,57.0,1
20,132.0,833.0,96.0,116.0,1
21,78.0,120.0,158.0,86.0,1
22,815.0,84.0,73.0,89.0,1
23,235.0,0.0,133.0,130.0,1
24,454.0,817.0,83.0,83.0,1
25,521.0,892.0,91.0,132.0,1
26,986.0,903.0,38.0,118.0,1
27,523.0,37.0,78.0,68.0,1
28,172.0,5.0,87.0,70.0,1
29,338.0,752.0,71.0,65.0,1
30,277.0,195.0,63.0,58.0,1
31,51.0,401.0,77.0,99.0,1
32,339.0,972.0,76.0,51.0,1
33,105.0,968.0,71.0,56.0,1
34,352.0,471.0,65.0,71.0,1
35,422.0,245.0,92.0,120.0,1
36,961.0,488.0,63.0,77.0,1
37,2.0,773.0,69.0,87.0,1
38,336.0,126.0,84.0,61.0,1
39,925.0,156.0,79.0,77.0,1
40,830.0,665.0,75.0,73.0,1
41,316.0,669.0,65.0,53.0,1
42,485.0,606.0,87.0,87.0,1
43,618.0,72.0,63.0,67.0,1
44,0.0,602.0,33.0,87.0,1
