#item,x,y,width,height,label
0,739.0,232.0,109.0,36.0,1
1,71.0,133.0,67.0,75.0,1
2,129.0,792.0,79.0,52.0,1
3,813.0,639.0,67.0,42.0,1
4,160.0,236.0,48.0,51.0,1
5,34.0,945.0,80.0,79.0,1
6,551.0,279.0,143.0,51.0,1
7,33.0,720.0,48.0,51.0,1
8,450.0,334.0,84.0,56.0,1
9,537.0,369.0,87.0,79.0,1
10,556.0,845.0,62.0,55.0,1
11,948.0,230.0,49.0,45.0,1
12,337.0,722.0,38.0,35.0,1
13,909.0,20.0,62.0,42.0,1
14,977.0,604.0,46.0,37.0,1
15,988.0,72.0,36.0,36.0,1
16,992.0,30.0,31.0,46.0,1
17,969.0,798.0,55.0,45.0,1
18,955.0,639.0,69.0,61.0,1
19,948.0,94.0,60.0,59.0,1
20,10.0,899.0,45.0,50.0,1
21,912.0,654.0,59.0,50.0,1
22,229.0,447.0,69.0,60.0,1
23,445.0,764.0,94.0,55.0,1
24,134.0,833.0,75.0,66.0,1
25,107.0,167.0,97.0,45.0,1
26,661.0,955.0,70.0,69.0,1
27,129.0,932.0,46.0,45.0,1
28,848.0,691.0,64.0,53.0,1
29,192.0,810.0,105.0,55.0,1
30,420.0,900.0,53.0,52.0,1
31,686.0,167.0,47.0,78.0,1
32,983.0,347.0,41.0,57.0,1
33,669.0,598.0,79.0,55.0,1
34,623.0,810.0,59.0,70.0,1
35,77.0,355.0,44.0,55.0,1
36,103.0,954.0,42.0,39.0,1
37,378.0,738.0,66.0,43.0,1
38,79.0,210.0,63.0,69.0,1
39,918.0,724.0,105.0,67.0,1
40,251.0,855.0,101.0,60.0,1
41,349.0,470.0,66.0,77.0,1
42,152.0,901.0,65.0,55.0,1
43,581.0,0.0,62.0,14.0,1
44,83.0,273.0,65.0,84.0,1
45,792.0,824.0,119.0,58.0,1
46,348.0,272.0,123.0,67.0,1
47,572.0,232.0,87.0,48.0,1
48,529.0,546.0,75.0,55.0,1
49,565.0,323.0,53.0,46.0,1
50,484.0,17.0,56.0,34.0,1
51,729.0,175.0,101.0,63.0,1
52,523.0,587.0,75.0,49.0,1
53,387.0,191.0,48.0,38.0,1
54,268.0,229.0,57.0,111.0,1
55,36.0,795.0,65.0,64.0,1
56,154.0,723.0,55.0,43.0,1
57,879.0,200.0,88.0,60.0,1
58,479.0,668.0,59.0,51.0,1
59,821.0,624.0,85.0,41.0,1
60,679.0,751.0,113.0,108.0,1
61,595.0,600.0,71.0,54.0,1
62,765.0,776.0,97.0,67.0,1
63,872.0,126.0,91.0,64.0,1
