#item,x,y,width,height,label
0,899.0,0.0,124.0,127.0,1
1,744.0,384.0,110.0,106.0,1
2,619.0,90.0,53.0,109.0,1
3,0.0,603.0,50.0,86.0,1
4,801.0,166.0,85.0,131.0,1
5,769.0,583.0,59.0,51.0,1
6,888.0,871.0,103.0,50.0,1
7,756.0,190.0,87.0,99.0,1
8,792.0,947.0,78.0,50.0,1
9,455.0,0.0,40.0,89.0,1
10,740.0,270.0,93.0,139.0,1
11,40.0,872.0,63.0,82.0,1
12,885.0,551.0,87.0,53.0,1
13,739.0,155.0,51.0,132.0,1
14,948.0,22.0,76.0,119.0,1
15,847.0,743.0,126.0,76.0,1
16,859.0,432.0,125.0,86.0,1
17,785.0,0.0,68.0,121.0,1
18,734.0,0.0,45.0,74.0,1
19,677.0,230.0,62.0,103.0,1
20,935.0,785.0,89.0,82.0,1
21,929.0,395.0,95.0,71.0,1
22,681.0,514.0,80.0,86.0,1
23,612.0,0.0,54.0,75.0,1
24,689.0,74.0,70.0,113.0,1
25,878.0,185.0,102.0,99.0,1
26,776.0,670.0,44.0,140.0,1
27,642.0,606.0,97.0,72.0,1
