#item,x,y,width,height,label
0,676.0,489.0,109.0,78.0,1
1,819.0,259.0,94.0,75.0,1
2,775.0,273.0,59.0,72.0,1
3,304.0,505.0,60.0,64.0,1
4,358.0,695.0,72.0,79.0,1
5,960.0,317.0,64.0,80.0,1
6,296.0,846.0,77.0,75.0,1
7,139.0,118.0,84.0,85.0,1
8,325.0,151.0,112.0,61.0,1
9,225.0,418.0,71.0,178.0,1
10,311.0,892.0,128.0,93.0,1
11,528.0,130.0,96.0,74.0,1
12,149.0,366.0,73.0,83.0,1
13,846.0,358.0,107.0,70.0,1
14,790.0,920.0,99.0,104.0,1
15,129.0,454.0,66.0,59.0,1
16,904.0,134.0,51.0,48.0,1
17,106.0,389.0,68.0,51.0,1
18,1.0,420.0,34.0,55.0,1
19,429.0,254.0,102.0,81.0,1
20,883.0,183.0,140.0,96.0,1
21,566.0,304.0,78.0,80.0,1
22,249.0,908.0,68.0,103.0,1
23,93.0,713.0,102.0,133.0,1
24,319.0,203.0,99.0,57.0,1
25,545.0,484.0,93.0,94.0,1
26,873.0,855.0,124.0,106.0,1
27,183.0,957.0,59.0,60.0,1
28,246.0,338.0,86.0,89.0,1
29,708.0,284.0,62.0,136.0,1
30,0.0,459.0,73.0,171.0,1
31,723.0,113.0,206.0,81.0,1
32,432.0,473.0,86.0,49.0,1
33,376.0,777.0,59.0,96.0,1
34,335.0,974.0,63.0,50.0,1
35,871.0,726.0,74.0,100.0,1
36,433.0,421.0,145.0,74.0,1
37,280.0,422.0,148.0,77.0,1
38,62.0,450.0,64.0,106.0,1
39,225.0,129.0,59.0,88.0,1
40,645.0,245.0,92.0,122.0,1
41,935.0,475.0,88.0,66.0,1
