#item,x,y,width,height,label
0,931.0,922.0,92.0,47.0,1
1,942.0,119.0,81.0,73.0,1
2,289.0,1.0,138.0,79.0,1
3,561.0,670.0,90.0,67.0,1
4,442.0,952.0,88.0,56.0,1
5,981.0,197.0,42.0,46.0,1
6,196.0,542.0,48.0,110.0,1
7,187.0,115.0,68.0,139.0,1
8,544.0,862.0,206.0,49.0,1
9,292.0,392.0,76.0,105.0,1
10,409.0,323.0,164.0,96.0,1
11,61.0,488.0,34.0,39.0,1
12,29.0,133.0,59.0,77.0,1
13,883.0,317.0,117.0,116.0,1
14,573.0,122.0,82.0,59.0,1
15,939.0,26.0,85.0,100.0,1
16,486.0,806.0,225.0,74.0,1
