#item,x,y,width,height,label
0,322.0,595.0,77.0,74.0,1
1,953.0,155.0,58.0,94.0,1
2,159.0,730.0,138.0,119.0,1
3,694.0,948.0,61.0,76.0,1
4,185.0,260.0,62.0,122.0,1
5,801.0,253.0,86.0,83.0,1
6,36.0,477.0,52.0,103.0,1
7,718.0,0.0,64.0,84.0,1
8,766.0,360.0,57.0,67.0,1
9,143.0,856.0,96.0,95.0,1
10,0.0,915.0,76.0,106.0,1
11,79.0,707.0,63.0,58.0,1
12,473.0,143.0,59.0,118.0,1
13,763.0,468.0,69.0,65.0,1
14,841.0,817.0,57.0,128.0,1
15,874.0,326.0,54.0,91.0,1
16,747.0,418.0,59.0,77.0,1
17,45.0,0.0,95.0,89.0,1
18,723.0,720.0,110.0,58.0,1
19,637.0,0.0,70.0,125.0,1
20,195.0,620.0,77.0,43.0,1
21,200.0,460.0,79.0,43.0,1
22,0.0,537.0,61.0,57.0,1
23,685.0,590.0,64.0,83.0,1
24,748.0,580.0,79.0,109.0,1
25,618.0,500.0,73.0,77.0,1
26,810.0,516.0,84.0,55.0,1
27,188.0,381.0,59.0,86.0,1
28,100.0,305.0,77.0,66.0,1
29,694.0,126.0,118.0,104.0,1
30,0.0,883.0,63.0,98.0,1
31,746.0,255.0,49.0,71.0,1
32,949.0,484.0,75.0,92.0,1
33,219.0,55.0,115.0,121.0,1
34,899.0,783.0,104.0,109.0,1
35,585.0,59.0,41.0,94.0,1
36,425.0,533.0,119.0,116.0,1
37,592.0,303.0,65.0,97.0,1
38,790.0,0.0,68.0,32.0,1
39,870.0,596.0,99.0,155.0,1
40,595.0,878.0,82.0,125.0,1
41,364.0,91.0,72.0,126.0,1
42,260.0,907.0,128.0,117.0,1
43,139.0,17.0,47.0,101.0,1
44,836.0,96.0,104.0,106.0,1
45,635.0,790.0,108.0,94.0,1
46,458.0,370.0,101.0,96.0,1
47,145.0,542.0,80.0,84.0,1
48,82.0,89.0,109.0,120.0,1
49,0.0,614.0,59.0,60.0,1
50,914.0,805.0,102.0,124.0,1
51,89.0,776.0,65.0,51.0,1
52,273.0,192.0,111.0,91.0,1
53,886.0,169.0,50.0,80.0,1
