#item,x,y,width,height,label
0,55.0,80.0,96.0,88.0,1
1,425.0,271.0,80.0,75.0,1
2,959.0,316.0,65.0,83.0,1
3,460.0,60.0,61.0,68.0,1
4,255.0,605.0,65.0,47.0,1
5,361.0,0.0,96.0,94.0,1
6,838.0,39.0,69.0,73.0,1
7,0.0,25.0,67.0,93.0,1
8,440.0,0.0,106.0,75.0,1
9,618.0,175.0,91.0,83.0,1
10,549.0,0.0,107.0,98.0,1
11,200.0,140.0,114.0,84.0,1
12,717.0,0.0,86.0,56.0,1
13,316.0,807.0,119.0,112.0,1
14,306.0,674.0,79.0,71.0,1
15,242.0,249.0,79.0,91.0,1
16,303.0,986.0,83.0,38.0,1
17,201.0,1.0,103.0,43.0,1
18,307.0,470.0,70.0,65.0,1
19,110.0,607.0,156.0,105.0,1
20,117.0,943.0,101.0,81.0,1
21,486.0,316.0,99.0,152.0,1
22,852.0,736.0,97.0,138.0,1
23,917.0,946.0,98.0,78.0,1
24,181.0,370.0,135.0,86.0,1
25,675.0,120.0,73.0,73.0,1
26,472.0,526.0,116.0,90.0,1
27,78.0,813.0,75.0,103.0,1
28,370.0,143.0,154.0,97.0,1
29,0.0,431.0,47.0,106.0,1
30,721.0,680.0,84.0,84.0,1
31,425.0,982.0,96.0,42.0,1
32,220.0,547.0,93.0,65.0,1
33,0.0,173.0,109.0,89.0,1
34,803.0,471.0,106.0,88.0,1
