#item,x,y,width,height,label
0,24.0,9.0,59.0,138.0,1
1,821.0,245.0,83.0,87.0,1
2,735.0,221.0,60.0,56.0,1
3,258.0,221.0,68.0,78.0,1
4,834.0,134.0,73.0,104.0,1
5,709.0,0.0,46.0,111.0,1
6,858.0,793.0,52.0,69.0,1
7,250.0,597.0,71.0,94.0,1
8,33.0,533.0,81.0,75.0,1
9,0.0,709.0,62.0,86.0,1
10,133.0,686.0,53.0,68.0,1
11,597.0,640.0,72.0,82.0,1
12,688.0,675.0,82.0,101.0,1
13,505.0,536.0,103.0,102.0,1
14,223.0,417.0,58.0,57.0,1
15,589.0,55.0,54.0,75.0,1
16,703.0,358.0,66.0,65.0,1
17,185.0,25.0,64.0,127.0,1
18,582.0,26.0,50.0,45.0,1
19,565.0,174.0,71.0,76.0,1
20,108.0,15.0,79.0,141.0,1
21,822.0,600.0,60.0,63.0,1
22,382.0,536.0,55.0,93.0,1
23,291.0,681.0,56.0,58.0,1
24,830.0,705.0,49.0,56.0,1
25,217.0,191.0,54.0,75.0,1
26,773.0,385.0,75.0,81.0,1
27,238.0,665.0,64.0,105.0,1
28,33.0,12.0,96.0,110.0,1
29,474.0,714.0,97.0,76.0,1
30,832.0,948.0,83.0,76.0,1
31,466.0,70.0,67.0,101.0,1
32,610.0,302.0,56.0,75.0,1
33,455.0,873.0,64.0,64.0,1
34,558.0,837.0,65.0,76.0,1
35,724.0,721.0,59.0,74.0,1
36,630.0,0.0,83.0,56.0,1
37,799.0,29.0,87.0,106.0,1
38,728.0,246.0,61.0,61.0,1
