#item,x,y,width,height,label
0,657.0,0.0,74.0,55.0,1
1,322.0,993.0,70.0,31.0,1
2,200.0,0.0,69.0,88.0,1
3,351.0,326.0,79.0,71.0,1
4,453.0,702.0,63.0,70.0,1
5,0.0,478.0,30.0,75.0,1
6,855.0,542.0,98.0,77.0,1
7,392.0,941.0,70.0,53.0,1
8,609.0,370.0,68.0,83.0,1
9,56.0,932.0,73.0,79.0,1
10,335.0,384.0,76.0,64.0,1
11,776.0,0.0,76.0,52.0,1
12,171.0,275.0,67.0,62.0,1
13,286.0,340.0,56.0,70.0,1
14,239.0,380.0,64.0,71.0,1
15,447.0,843.0,61.0,73.0,1
16,40.0,150.0,65.0,88.0,1
17,34.0,0.0,80.0,78.0,1
18,681.0,594.0,81.0,72.0,1
19,311.0,603.0,79.0,71.0,1
20,307.0,875.0,59.0,58.0,1
21,768.0,665.0,88.0,60.0,1
22,84.0,803.0,65.0,97.0,1
23,455.0,163.0,97.0,75.0,1
24,291.0,0.0,67.0,66.0,1
25,256.0,722.0,72.0,61.0,1
26,874.0,175.0,64.0,101.0,1
27,828.0,231.0,73.0,83.0,1
28,16.0,896.0,65.0,48.0,1
29,178.0,955.0,68.0,69.0,1
30,346.0,688.0,67.0,62.0,1
31,0.0,786.0,47.0,35.0,1
32,661.0,736.0,59.0,64.0,1
33,611.0,956.0,77.0,68.0,1
34,31.0,446.0,90.0,83.0,1
35,271.0,230.0,75.0,116.0,1
36,548.0,528.0,63.0,76.0,1
37,587.0,449.0,78.0,85.0,1
38,447.0,370.0,83.0,104.0,1
39,937.0,276.0,86.0,76.0,1
40,638.0,129.0,59.0,65.0,1
41,206.0,459.0,95.0,75.0,1
42,526.0,825.0,65.0,68.0,1
43,557.0,306.0,97.0,81.0,1
44,183.0,407.0,44.0,39.0,1
45,707.0,63.0,58.0,76.0,1
46,370.0,750.0,86.0,58.0,1
47,859.0,623.0,63.0,86.0,1
48,225.0,583.0,56.0,68.0,1
49,425.0,77.0,71.0,87.0,1
50,728.0,387.0,78.0,66.0,1
51,320.0,64.0,62.0,65.0,1
52,808.0,942.0,63.0,82.0,1
53,661.0,492.0,75.0,79.0,1
