#item,x,y,width,height,label
0,954.0,232.0,70.0,70.0,1
1,660.0,156.0,90.0,76.0,1
2,771.0,756.0,50.0,74.0,1
3,965.0,663.0,59.0,88.0,1
4,576.0,943.0,58.0,81.0,1
5,924.0,337.0,82.0,82.0,1
6,645.0,673.0,84.0,102.0,1
7,967.0,760.0,57.0,66.0,1
8,535.0,808.0,74.0,70.0,1
9,755.0,818.0,66.0,59.0,1
10,634.0,363.0,82.0,87.0,1
11,604.0,192.0,87.0,87.0,1
12,705.0,0.0,63.0,48.0,1
13,573.0,890.0,74.0,72.0,1
14,555.0,696.0,92.0,110.0,1
15,694.0,223.0,79.0,80.0,1
16,619.0,107.0,79.0,74.0,1
17,880.0,931.0,56.0,93.0,1
18,915.0,73.0,80.0,75.0,1
19,21.0,0.0,59.0,50.0,1
20,872.0,440.0,80.0,72.0,1
21,691.0,453.0,84.0,102.0,1
22,875.0,552.0,85.0,98.0,1
23,752.0,565.0,74.0,82.0,1
24,796.0,568.0,64.0,72.0,1
25,984.0,54.0,40.0,46.0,1
