#item,x,y,width,height,label
0,414.0,0.0,64.0,79.0,1
1,813.0,138.0,92.0,63.0,1
2,686.0,786.0,139.0,77.0,1
3,989.0,784.0,33.0,50.0,1
4,634.0,264.0,88.0,78.0,1
5,405.0,334.0,90.0,81.0,1
6,476.0,544.0,87.0,56.0,1
7,120.0,981.0,53.0,43.0,1
8,602.0,904.0,103.0,80.0,1
9,116.0,80.0,91.0,67.0,1
10,184.0,414.0,64.0,68.0,1
11,456.0,725.0,77.0,79.0,1
12,241.0,0.0,47.0,59.0,1
13,228.0,288.0,124.0,92.0,1
14,581.0,13.0,88.0,143.0,1
15,682.0,501.0,103.0,72.0,1
16,519.0,432.0,126.0,106.0,1
17,88.0,839.0,135.0,95.0,1
18,824.0,548.0,170.0,157.0,1
19,425.0,441.0,75.0,68.0,1
20,700.0,26.0,180.0,150.0,1
21,480.0,834.0,74.0,67.0,1
22,898.0,461.0,90.0,67.0,1
23,258.0,724.0,77.0,55.0,1
24,199.0,586.0,88.0,75.0,1
25,644.0,776.0,101.0,81.0,1
26,789.0,872.0,176.0,84.0,1
27,13.0,227.0,74.0,45.0,1
28,646.0,66.0,127.0,68.0,1
29,0.0,291.0,54.0,57.0,1
