#item,x,y,width,height,label
0,275.0,164.0,116.0,82.0,1
1,397.0,616.0,167.0,92.0,1
2,973.0,0.0,51.0,60.0,1
3,0.0,234.0,128.0,90.0,1
4,918.0,868.0,79.0,47.0,1
5,482.0,768.0,86.0,92.0,1
6,470.0,899.0,64.0,43.0,1
7,641.0,492.0,63.0,68.0,1
8,561.0,109.0,70.0,48.0,1
9,773.0,335.0,93.0,79.0,1
10,901.0,220.0,71.0,65.0,1
11,69.0,866.0,132.0,90.0,1
12,846.0,18.0,75.0,55.0,1
13,463.0,246.0,103.0,96.0,1
14,336.0,350.0,152.0,99.0,1
15,290.0,457.0,66.0,79.0,1
16,159.0,671.0,129.0,98.0,1
17,771.0,0.0,141.0,39.0,1
18,774.0,885.0,70.0,71.0,1
19,928.0,275.0,96.0,88.0,1
20,216.0,129.0,71.0,127.0,1
21,507.0,462.0,154.0,149.0,1
22,419.0,935.0,95.0,77.0,1
23,316.0,402.0,63.0,61.0,1
24,278.0,845.0,123.0,118.0,1
25,400.0,434.0,57.0,81.0,1
26,517.0,0.0,120.0,61.0,1
27,717.0,585.0,160.0,102.0,1
28,763.0,763.0,92.0,64.0,1
29,830.0,461.0,43.0,47.0,1
30,837.0,531.0,97.0,96.0,1
31,0.0,489.0,69.0,81.0,1
32,536.0,714.0,63.0,66.0,1
33,887.0,326.0,57.0,69.0,1
34,925.0,460.0,94.0,103.0,1
35,31.0,433.0,81.0,67.0,1
36,0.0,202.0,71.0,47.0,1
37,0.0,52.0,74.0,105.0,1
38,573.0,873.0,82.0,118.0,1
39,144.0,387.0,76.0,87.0,1
40,81.0,307.0,87.0,90.0,1
41,816.0,69.0,97.0,59.0,1
