#item,x,y,width,height,label
0,490.0,623.0,139.0,152.0,1
1,168.0,8.0,51.0,56.0,1
2,785.0,742.0,57.0,56.0,1
3,885.0,298.0,135.0,51.0,1
4,146.0,173.0,67.0,81.0,1
5,42.0,260.0,48.0,83.0,1
6,309.0,200.0,70.0,103.0,1
7,619.0,159.0,40.0,54.0,1
8,630.0,874.0,24.0,32.0,1
9,867.0,870.0,53.0,45.0,1
10,246.0,531.0,54.0,79.0,1
11,25.0,430.0,39.0,60.0,1
12,962.0,809.0,62.0,87.0,1
13,498.0,136.0,39.0,74.0,1
14,819.0,390.0,104.0,61.0,1
15,706.0,834.0,62.0,82.0,1
16,240.0,983.0,78.0,41.0,1
17,777.0,646.0,76.0,51.0,1
18,812.0,461.0,100.0,86.0,1
19,654.0,465.0,70.0,97.0,1
20,863.0,133.0,161.0,79.0,1
21,740.0,255.0,77.0,76.0,1
22,102.0,2.0,49.0,44.0,1
