#item,x,y,width,height,label
0,602.0,875.0,79.0,62.0,1
1,253.0,162.0,142.0,62.0,1
2,471.0,118.0,127.0,70.0,1
3,942.0,0.0,74.0,69.0,1
4,739.0,701.0,76.0,44.0,1
5,0.0,93.0,178.0,53.0,1
6,423.0,225.0,122.0,84.0,1
7,709.0,735.0,119.0,76.0,1
8,707.0,217.0,85.0,68.0,1
9,666.0,450.0,109.0,86.0,1
10,949.0,816.0,75.0,121.0,1
11,848.0,116.0,101.0,79.0,1
12,202.0,936.0,79.0,84.0,1
13,595.0,624.0,67.0,88.0,1
14,697.0,920.0,174.0,79.0,1
15,510.0,772.0,103.0,80.0,1
16,0.0,918.0,51.0,79.0,1
17,812.0,615.0,97.0,97.0,1
18,337.0,487.0,105.0,84.0,1
19,964.0,951.0,60.0,73.0,1
20,460.0,634.0,108.0,103.0,1
21,103.0,17.0,250.0,73.0,1
22,0.0,464.0,30.0,122.0,1
23,665.0,450.0,109.0,86.0,1
24,36.0,739.0,154.0,109.0,1
25,745.0,563.0,82.0,85.0,1
