#item,x,y,width,height,label
0,765.0,519.0,137.0,83.0,1
1,795.0,789.0,145.0,102.0,1
2,43.0,350.0,152.0,185.0,1
3,220.0,707.0,106.0,177.0,1
4,732.0,712.0,126.0,116.0,1
5,318.0,381.0,79.0,191.0,1
6,376.0,813.0,68.0,98.0,1
7,598.0,258.0,89.0,88.0,1
8,838.0,139.0,95.0,105.0,1
9,441.0,0.0,175.0,96.0,1
10,92.0,559.0,101.0,106.0,1
11,874.0,0.0,73.0,29.0,1
12,872.0,705.0,128.0,120.0,1
13,460.0,874.0,110.0,150.0,1
14,431.0,486.0,106.0,140.0,1
15,888.0,366.0,104.0,112.0,1
16,976.0,121.0,48.0,79.0,1
17,224.0,128.0,118.0,147.0,1
18,43.0,677.0,98.0,189.0,1
19,49.0,973.0,85.0,51.0,1
