#item,x,y,width,height,label
0,621.0,503.0,102.0,57.0,1
1,408.0,31.0,200.0,77.0,1
2,540.0,833.0,128.0,78.0,1
3,740.0,931.0,114.0,53.0,1
4,920.0,651.0,96.0,72.0,1
5,361.0,502.0,186.0,93.0,1
6,699.0,261.0,98.0,83.0,1
7,486.0,718.0,90.0,66.0,1
8,0.0,975.0,118.0,49.0,1
9,140.0,685.0,94.0,121.0,1
10,833.0,749.0,168.0,81.0,1
11,99.0,208.0,85.0,90.0,1
12,418.0,579.0,106.0,86.0,1
13,264.0,11.0,103.0,115.0,1
14,120.0,139.0,180.0,94.0,1
15,177.0,540.0,118.0,165.0,1
16,376.0,108.0,152.0,71.0,1
17,102.0,900.0,71.0,72.0,1
18,727.0,0.0,60.0,59.0,1
19,608.0,159.0,120.0,55.0,1
20,308.0,873.0,104.0,99.0,1
21,822.0,38.0,92.0,62.0,1
22,891.0,874.0,133.0,111.0,1
23,351.0,800.0,172.0,91.0,1
24,705.0,678.0,115.0,55.0,1
25,416.0,224.0,89.0,91.0,1
26,594.0,270.0,93.0,102.0,1
27,896.0,122.0,93.0,78.0,1
28,661.0,564.0,118.0,128.0,1
