#item,x,y,width,height,label
0,976.0,900.0,48.0,102.0,1
1,11.0,200.0,87.0,107.0,1
2,649.0,0.0,129.0,44.0,1
3,204.0,0.0,124.0,47.0,1
4,327.0,102.0,104.0,91.0,1
5,361.0,494.0,59.0,74.0,1
6,738.0,188.0,97.0,105.0,1
7,135.0,390.0,101.0,102.0,1
8,232.0,539.0,98.0,108.0,1
9,202.0,819.0,77.0,74.0,1
10,185.0,173.0,98.0,96.0,1
11,435.0,779.0,94.0,73.0,1
12,47.0,512.0,116.0,90.0,1
13,649.0,502.0,107.0,84.0,1
14,711.0,87.0,60.0,87.0,1
15,417.0,516.0,118.0,90.0,1
16,665.0,697.0,75.0,73.0,1
17,811.0,815.0,114.0,88.0,1
18,630.0,795.0,135.0,77.0,1
19,502.0,947.0,102.0,77.0,1
20,439.0,381.0,84.0,93.0,1
21,0.0,318.0,78.0,79.0,1
22,171.0,954.0,67.0,70.0,1
23,898.0,633.0,90.0,111.0,1
24,297.0,921.0,84.0,87.0,1
25,19.0,695.0,73.0,80.0,1
26,356.0,667.0,83.0,85.0,1
27,555.0,657.0,96.0,89.0,1
28,102.0,659.0,84.0,77.0,1
29,464.0,732.0,71.0,49.0,1
30,67.0,112.0,90.0,71.0,1
31,949.0,214.0,75.0,81.0,1
32,608.0,100.0,101.0,97.0,1
