#item,x,y,width,height,label
0,703.0,88.0,55.0,72.0,1
1,0.0,836.0,51.0,114.0,1
2,2.0,957.0,56.0,67.0,1
3,696.0,767.0,62.0,38.0,1
4,777.0,107.0,61.0,77.0,1
5,0.0,0.0,111.0,77.0,1
6,559.0,181.0,50.0,35.0,1
7,396.0,920.0,87.0,63.0,1
8,64.0,912.0,100.0,86.0,1
9,624.0,773.0,62.0,56.0,1
10,47.0,363.0,92.0,47.0,1
11,711.0,819.0,55.0,71.0,1
12,296.0,172.0,68.0,45.0,1
13,399.0,807.0,78.0,42.0,1
14,131.0,363.0,95.0,44.0,1
15,622.0,985.0,72.0,37.0,1
16,2.0,296.0,138.0,67.0,1
17,40.0,484.0,100.0,51.0,1
18,281.0,799.0,86.0,76.0,1
19,675.0,435.0,59.0,105.0,1
20,17.0,548.0,89.0,55.0,1
21,196.0,417.0,57.0,56.0,1
22,345.0,721.0,88.0,48.0,1
23,954.0,943.0,52.0,78.0,1
24,1.0,347.0,86.0,44.0,1
25,250.0,219.0,89.0,52.0,1
26,499.0,878.0,92.0,64.0,1
27,609.0,395.0,90.0,54.0,1
28,576.0,599.0,79.0,66.0,1
29,2.0,250.0,123.0,62.0,1
30,125.0,197.0,88.0,54.0,1
31,271.0,323.0,61.0,36.0,1
32,583.0,23.0,61.0,82.0,1
33,473.0,803.0,95.0,75.0,1
34,558.0,798.0,69.0,57.0,1
35,736.0,23.0,56.0,76.0,1
36,711.0,540.0,62.0,61.0,1
37,270.0,356.0,94.0,65.0,1
38,614.0,558.0,91.0,50.0,1
39,276.0,488.0,115.0,100.0,1
40,330.0,974.0,99.0,34.0,1
41,486.0,614.0,84.0,66.0,1
42,153.0,96.0,80.0,50.0,1
43,587.0,259.0,70.0,78.0,1
44,2.0,58.0,102.0,64.0,1
45,591.0,867.0,102.0,69.0,1
46,619.0,185.0,70.0,56.0,1
47,31.0,186.0,95.0,57.0,1
48,583.0,432.0,49.0,49.0,1
49,223.0,354.0,84.0,24.0,1
50,56.0,732.0,76.0,67.0,1
51,417.0,990.0,72.0,34.0,1
