#item,x,y,width,height,label
0,822.0,725.0,62.0,119.0,1
1,881.0,709.0,63.0,95.0,1
2,701.0,257.0,64.0,72.0,1
3,497.0,852.0,89.0,62.0,1
4,253.0,729.0,124.0,82.0,1
5,907.0,417.0,97.0,98.0,1
6,178.0,956.0,105.0,68.0,1
7,757.0,546.0,95.0,131.0,1
8,961.0,361.0,44.0,53.0,1
9,384.0,413.0,73.0,163.0,1
10,881.0,279.0,82.0,99.0,1
11,668.0,702.0,127.0,82.0,1
12,496.0,10.0,80.0,198.0,1
13,224.0,417.0,87.0,87.0,1
14,135.0,489.0,73.0,84.0,1
15,991.0,628.0,33.0,69.0,1
16,913.0,986.0,107.0,38.0,1
17,299.0,374.0,96.0,71.0,1
18,191.0,451.0,95.0,137.0,1
19,897.0,0.0,90.0,119.0,1
20,393.0,421.0,103.0,140.0,1
21,545.0,496.0,105.0,125.0,1
22,0.0,282.0,91.0,58.0,1
23,1.0,0.0,74.0,81.0,1
24,381.0,0.0,92.0,142.0,1
25,337.0,905.0,88.0,54.0,1
26,75.0,227.0,135.0,84.0,1
27,792.0,0.0,119.0,88.0,1
28,273.0,122.0,70.0,109.0,1
29,58.0,526.0,71.0,69.0,1
30,848.0,156.0,100.0,131.0,1
31,266.0,549.0,160.0,131.0,1
32,411.0,436.0,93.0,129.0,1
33,446.0,641.0,44.0,95.0,1
34,301.0,799.0,80.0,68.0,1
35,595.0,618.0,83.0,65.0,1
36,206.0,595.0,65.0,92.0,1
37,51.0,354.0,73.0,113.0,1
38,51.0,773.0,91.0,56.0,1
39,12.0,183.0,65.0,56.0,1
40,188.0,171.0,45.0,57.0,1
41,725.0,933.0,79.0,91.0,1
42,1.0,724.0,144.0,57.0,1
43,621.0,279.0,59.0,129.0,1
44,512.0,0.0,89.0,89.0,1
45,280.0,235.0,106.0,92.0,1
46,647.0,72.0,118.0,145.0,1
47,49.0,609.0,112.0,54.0,1
