#item,x,y,width,height,label
0,927.0,982.0,97.0,42.0,1
1,0.0,872.0,89.0,72.0,1
2,951.0,151.0,73.0,49.0,1
3,966.0,200.0,58.0,51.0,1
4,519.0,155.0,96.0,56.0,1
5,276.0,268.0,102.0,77.0,1
6,652.0,870.0,144.0,100.0,1
7,901.0,399.0,105.0,56.0,1
8,153.0,335.0,95.0,79.0,1
9,747.0,680.0,133.0,80.0,1
10,652.0,391.0,128.0,72.0,1
11,744.0,929.0,182.0,94.0,1
12,332.0,647.0,95.0,85.0,1
13,442.0,360.0,75.0,72.0,1
14,798.0,808.0,169.0,152.0,1
15,327.0,223.0,94.0,81.0,1
16,932.0,100.0,89.0,44.0,1
17,931.0,670.0,93.0,77.0,1
18,215.0,47.0,105.0,97.0,1
19,737.0,145.0,95.0,67.0,1
20,915.0,581.0,109.0,79.0,1
21,801.0,286.0,164.0,87.0,1
22,564.0,838.0,85.0,92.0,1
23,619.0,112.0,108.0,77.0,1
24,573.0,706.0,131.0,77.0,1
25,491.0,204.0,123.0,75.0,1
26,832.0,509.0,122.0,97.0,1
27,271.0,803.0,115.0,145.0,1
28,593.0,220.0,208.0,87.0,1
29,407.0,128.0,79.0,84.0,1
30,281.0,343.0,95.0,74.0,1
31,468.0,875.0,97.0,77.0,1
32,678.0,599.0,146.0,71.0,1
33,447.0,748.0,90.0,77.0,1
34,391.0,837.0,87.0,64.0,1
35,337.0,517.0,77.0,76.0,1
36,734.0,38.0,113.0,66.0,1
37,0.0,591.0,60.0,83.0,1
38,819.0,48.0,115.0,77.0,1
39,665.0,337.0,131.0,75.0,1
40,5.0,138.0,89.0,110.0,1
41,358.0,742.0,90.0,82.0,1
42,537.0,0.0,126.0,35.0,1
43,482.0,833.0,75.0,56.0,1
44,624.0,533.0,149.0,67.0,1
