#item,x,y,width,height,label
0,991.0,926.0,33.0,61.0,1
1,19.0,855.0,103.0,63.0,1
2,458.0,429.0,69.0,57.0,1
3,258.0,877.0,56.0,49.0,1
4,645.0,342.0,169.0,71.0,1
5,657.0,182.0,91.0,86.0,1
6,575.0,825.0,82.0,50.0,1
7,807.0,262.0,71.0,58.0,1
8,393.0,792.0,55.0,53.0,1
9,852.0,770.0,93.0,68.0,1
10,527.0,215.0,75.0,68.0,1
11,561.0,505.0,70.0,96.0,1
12,631.0,650.0,59.0,55.0,1
13,914.0,836.0,66.0,64.0,1
14,187.0,837.0,51.0,74.0,1
15,718.0,815.0,60.0,56.0,1
16,735.0,959.0,83.0,65.0,1
17,407.0,736.0,67.0,55.0,1
18,601.0,240.0,67.0,65.0,1
19,26.0,747.0,86.0,68.0,1
20,938.0,791.0,60.0,43.0,1
21,23.0,0.0,60.0,40.0,1
22,0.0,897.0,64.0,56.0,1
23,340.0,31.0,113.0,72.0,1
24,763.0,10.0,91.0,83.0,1
25,856.0,512.0,66.0,75.0,1
26,691.0,580.0,44.0,44.0,1
27,851.0,914.0,56.0,49.0,1
28,515.0,732.0,127.0,46.0,1
29,344.0,115.0,51.0,79.0,1
30,257.0,146.0,82.0,101.0,1
31,698.0,32.0,67.0,79.0,1
32,499.0,948.0,110.0,76.0,1
33,413.0,169.0,71.0,65.0,1
34,769.0,759.0,68.0,77.0,1
35,0.0,664.0,71.0,63.0,1
36,567.0,901.0,56.0,66.0,1
37,200.0,53.0,73.0,52.0,1
38,501.0,668.0,75.0,49.0,1
39,83.0,206.0,112.0,96.0,1
40,979.0,843.0,45.0,65.0,1
