#item,x,y,width,height,label
0,736.0,42.0,94.0,79.0,1
1,333.0,583.0,53.0,69.0,1
2,805.0,585.0,48.0,60.0,1
3,970.0,481.0,52.0,122.0,1
4,39.0,0.0,44.0,29.0,1
5,2.0,619.0,40.0,105.0,1
6,551.0,909.0,73.0,61.0,1
7,265.0,241.0,56.0,46.0,1
8,325.0,718.0,92.0,99.0,1
9,756.0,707.0,84.0,84.0,1
10,308.0,181.0,80.0,96.0,1
11,492.0,487.0,114.0,85.0,1
12,0.0,78.0,59.0,61.0,1
13,448.0,116.0,74.0,96.0,1
14,565.0,37.0,110.0,77.0,1
15,702.0,950.0,67.0,73.0,1
16,1.0,787.0,63.0,75.0,1
17,207.0,56.0,107.0,51.0,1
18,1004.0,881.0,20.0,77.0,1
19,226.0,332.0,118.0,71.0,1
20,753.0,0.0,62.0,22.0,1
21,175.0,917.0,96.0,85.0,1
22,630.0,185.0,92.0,124.0,1
23,308.0,515.0,110.0,60.0,1
24,451.0,376.0,126.0,82.0,1
25,679.0,360.0,108.0,93.0,1
26,819.0,365.0,70.0,106.0,1
27,265.0,651.0,82.0,67.0,1
28,965.0,35.0,59.0,90.0,1
29,427.0,0.0,116.0,45.0,1
30,987.0,677.0,37.0,73.0,1
31,168.0,162.0,119.0,52.0,1
32,816.0,833.0,85.0,52.0,1
33,45.0,545.0,85.0,73.0,1
34,752.0,872.0,88.0,67.0,1
35,543.0,624.0,63.0,76.0,1
