#item,x,y,width,height,label
0,669.0,331.0,74.0,60.0,1
1,511.0,364.0,77.0,29.0,1
2,720.0,305.0,61.0,45.0,1
3,267.0,18.0,39.0,38.0,1
4,673.0,980.0,79.0,43.0,1
5,73.0,242.0,73.0,63.0,1
6,89.0,629.0,70.0,80.0,1
7,807.0,706.0,55.0,56.0,1
8,572.0,881.0,54.0,42.0,1
9,344.0,262.0,62.0,66.0,1
10,0.0,793.0,37.0,48.0,1
11,591.0,610.0,66.0,80.0,1
12,641.0,269.0,87.0,70.0,1
13,612.0,404.0,55.0,60.0,1
14,769.0,953.0,90.0,64.0,1
15,765.0,141.0,68.0,82.0,1
16,847.0,890.0,78.0,106.0,1
17,613.0,48.0,82.0,91.0,1
18,466.0,180.0,53.0,52.0,1
19,770.0,262.0,70.0,78.0,1
20,336.0,415.0,71.0,51.0,1
21,639.0,949.0,86.0,49.0,1
22,105.0,485.0,75.0,44.0,1
23,856.0,763.0,79.0,44.0,1
24,215.0,145.0,69.0,64.0,1
25,920.0,100.0,81.0,82.0,1
26,946.0,897.0,78.0,63.0,1
27,451.0,22.0,76.0,53.0,1
28,97.0,79.0,52.0,81.0,1
29,163.0,436.0,45.0,60.0,1
30,822.0,647.0,62.0,45.0,1
31,772.0,768.0,75.0,50.0,1
32,103.0,396.0,48.0,40.0,1
33,0.0,530.0,71.0,128.0,1
34,470.0,235.0,61.0,66.0,1
35,773.0,635.0,48.0,75.0,1
36,310.0,635.0,62.0,64.0,1
37,290.0,253.0,57.0,58.0,1
38,302.0,773.0,67.0,76.0,1
39,71.0,51.0,41.0,69.0,1
40,321.0,204.0,89.0,53.0,1
41,968.0,0.0,56.0,41.0,1
42,3.0,23.0,100.0,52.0,1
43,96.0,706.0,39.0,31.0,1
44,365.0,804.0,75.0,45.0,1
45,344.0,869.0,92.0,71.0,1
46,163.0,181.0,148.0,78.0,1
47,264.0,137.0,52.0,52.0,1
48,610.0,701.0,80.0,83.0,1
49,934.0,55.0,57.0,56.0,1
50,565.0,153.0,112.0,60.0,1
51,358.0,755.0,76.0,51.0,1
52,545.0,862.0,47.0,58.0,1
53,75.0,509.0,74.0,97.0,1
54,287.0,346.0,89.0,42.0,1
55,251.0,710.0,136.0,41.0,1
56,201.0,388.0,67.0,105.0,1
57,481.0,630.0,53.0,56.0,1
58,802.0,322.0,92.0,69.0,1
59,23.0,316.0,70.0,64.0,1
60,819.0,406.0,164.0,181.0,1
61,718.0,75.0,93.0,73.0,1
62,858.0,714.0,84.0,56.0,1
63,925.0,848.0,98.0,71.0,1
64,996.0,414.0,28.0,106.0,1
65,381.0,501.0,66.0,85.0,1
66,160.0,892.0,82.0,56.0,1
67,85.0,296.0,117.0,58.0,1
68,384.0,294.0,72.0,76.0,1
69,905.0,959.0,81.0,57.0,1
70,436.0,66.0,71.0,52.0,1
71,660.0,890.0,133.0,62.0,1
72,432.0,624.0,47.0,67.0,1
73,335.0,64.0,56.0,80.0,1
74,706.0,590.0,59.0,67.0,1
75,885.0,862.0,53.0,83.0,1
76,960.0,139.0,64.0,70.0,1
77,877.0,15.0,54.0,97.0,1
78,124.0,86.0,88.0,90.0,1
79,21.0,661.0,80.0,48.0,1
80,927.0,456.0,55.0,111.0,1
81,438.0,124.0,73.0,63.0,1
82,672.0,26.0,78.0,66.0,1
83,956.0,296.0,63.0,81.0,1
84,545.0,11.0,58.0,43.0,1
