#item,x,y,width,height,label
0,619.0,509.0,92.0,79.0,1
1,735.0,736.0,79.0,69.0,1
2,638.0,604.0,96.0,59.0,1
3,916.0,721.0,50.0,57.0,1
4,706.0,492.0,54.0,56.0,1
5,519.0,671.0,63.0,52.0,1
6,590.0,938.0,41.0,54.0,1
7,887.0,17.0,65.0,75.0,1
8,790.0,841.0,56.0,69.0,1
9,600.0,0.0,64.0,44.0,1
10,596.0,344.0,57.0,40.0,1
11,816.0,548.0,63.0,65.0,1
12,600.0,386.0,62.0,37.0,1
13,908.0,612.0,52.0,55.0,1
14,539.0,496.0,74.0,60.0,1
15,401.0,146.0,79.0,66.0,1
16,775.0,363.0,48.0,41.0,1
17,2.0,499.0,64.0,74.0,1
18,78.0,906.0,79.0,72.0,1
19,40.0,142.0,63.0,55.0,1
20,929.0,289.0,95.0,84.0,1
21,50.0,559.0,65.0,64.0,1
