#item,x,y,width,height,label
0,165.0,875.0,177.0,52.0,1
1,370.0,146.0,125.0,45.0,1
2,44.0,405.0,69.0,70.0,1
3,387.0,693.0,123.0,69.0,1
4,962.0,265.0,62.0,69.0,1
5,344.0,476.0,115.0,69.0,1
6,345.0,344.0,127.0,67.0,1
7,0.0,684.0,49.0,62.0,1
8,393.0,403.0,160.0,59.0,1
9,423.0,92.0,153.0,65.0,1
10,222.0,176.0,152.0,57.0,1
11,231.0,0.0,150.0,64.0,1
12,122.0,627.0,101.0,63.0,1
13,76.0,2.0,116.0,59.0,1
14,289.0,631.0,139.0,56.0,1
15,401.0,0.0,109.0,58.0,1
16,416.0,219.0,152.0,75.0,1
17,267.0,259.0,114.0,46.0,1
18,954.0,711.0,70.0,60.0,1
19,0.0,189.0,92.0,55.0,1
20,10.0,344.0,66.0,68.0,1
21,0.0,554.0,99.0,62.0,1
22,27.0,262.0,112.0,66.0,1
23,0.0,86.0,100.0,61.0,1
24,58.0,848.0,47.0,48.0,1
25,128.0,409.0,96.0,75.0,1
26,112.0,819.0,159.0,63.0,1
27,970.0,815.0,54.0,77.0,1
28,48.0,936.0,91.0,68.0,1
29,156.0,88.0,95.0,67.0,1
30,276.0,198.0,130.0,69.0,1
31,131.0,679.0,132.0,76.0,1
