#item,x,y,width,height,label
0,294.0,578.0,90.0,102.0,1
1,99.0,273.0,110.0,95.0,1
2,181.0,611.0,92.0,65.0,1
3,182.0,515.0,90.0,90.0,1
4,770.0,265.0,193.0,77.0,1
5,24.0,468.0,47.0,48.0,1
6,55.0,231.0,58.0,65.0,1
7,525.0,823.0,101.0,89.0,1
8,29.0,382.0,38.0,42.0,1
9,280.0,689.0,220.0,125.0,1
10,11.0,160.0,133.0,59.0,1
11,457.0,382.0,99.0,83.0,1
12,849.0,401.0,173.0,61.0,1
13,62.0,985.0,76.0,39.0,1
14,0.0,185.0,45.0,77.0,1
15,687.0,159.0,126.0,77.0,1
16,196.0,49.0,53.0,81.0,1
17,352.0,384.0,113.0,76.0,1
18,854.0,183.0,105.0,67.0,1
19,963.0,118.0,61.0,68.0,1
20,285.0,400.0,59.0,66.0,1
21,653.0,12.0,215.0,114.0,1
22,229.0,859.0,181.0,160.0,1
23,160.0,143.0,121.0,114.0,1
24,593.0,610.0,75.0,90.0,1
25,444.0,979.0,132.0,45.0,1
26,410.0,473.0,73.0,61.0,1
27,840.0,700.0,105.0,75.0,1
28,360.0,524.0,68.0,61.0,1
29,446.0,868.0,119.0,156.0,1
30,645.0,743.0,91.0,104.0,1
31,479.0,237.0,282.0,86.0,1
32,310.0,43.0,71.0,93.0,1
33,0.0,0.0,38.0,102.0,1
34,76.0,615.0,57.0,71.0,1
35,755.0,228.0,100.0,150.0,1
36,670.0,0.0,184.0,54.0,1
37,930.0,268.0,94.0,92.0,1
38,69.0,380.0,88.0,83.0,1
39,77.0,519.0,58.0,37.0,1
40,280.0,254.0,121.0,133.0,1
41,564.0,89.0,93.0,100.0,1
