#item,x,y,width,height,label
0,777.0,555.0,79.0,92.0,1
1,686.0,761.0,92.0,76.0,1
2,551.0,870.0,98.0,69.0,1
3,116.0,616.0,100.0,79.0,1
4,891.0,90.0,62.0,93.0,1
5,41.0,768.0,122.0,114.0,1
6,295.0,630.0,71.0,70.0,1
7,752.0,478.0,63.0,75.0,1
8,628.0,972.0,92.0,52.0,1
9,344.0,736.0,89.0,59.0,1
10,167.0,718.0,51.0,57.0,1
11,974.0,51.0,50.0,92.0,1
12,974.0,805.0,50.0,88.0,1
13,0.0,792.0,43.0,108.0,1
14,657.0,504.0,67.0,73.0,1
15,514.0,760.0,100.0,70.0,1
16,828.0,716.0,107.0,81.0,1
17,849.0,946.0,144.0,77.0,1
18,0.0,687.0,100.0,73.0,1
19,732.0,13.0,75.0,93.0,1
20,384.0,590.0,78.0,77.0,1
21,545.0,43.0,102.0,155.0,1
22,474.0,903.0,73.0,105.0,1
23,582.0,602.0,166.0,79.0,1
24,0.0,280.0,106.0,113.0,1
25,102.0,279.0,77.0,122.0,1
26,275.0,179.0,148.0,98.0,1
27,165.0,195.0,126.0,98.0,1
28,630.0,13.0,82.0,79.0,1
29,200.0,970.0,95.0,54.0,1
30,500.0,490.0,128.0,106.0,1
