#item,x,y,width,height,label
0,827.0,502.0,98.0,95.0,1
1,867.0,725.0,132.0,81.0,1
2,504.0,32.0,56.0,59.0,1
3,423.0,671.0,64.0,72.0,1
4,539.0,128.0,75.0,73.0,1
5,396.0,278.0,114.0,125.0,1
6,118.0,200.0,125.0,77.0,1
7,799.0,832.0,84.0,60.0,1
8,387.0,206.0,56.0,71.0,1
9,719.0,873.0,81.0,115.0,1
10,659.0,137.0,70.0,70.0,1
11,500.0,470.0,74.0,101.0,1
12,157.0,0.0,83.0,52.0,1
13,931.0,78.0,93.0,130.0,1
14,69.0,945.0,100.0,67.0,1
15,39.0,0.0,83.0,187.0,1
16,591.0,654.0,73.0,77.0,1
17,128.0,746.0,85.0,111.0,1
18,1.0,222.0,32.0,80.0,1
19,656.0,918.0,86.0,106.0,1
20,787.0,452.0,90.0,216.0,1
21,243.0,131.0,149.0,72.0,1
22,493.0,567.0,86.0,159.0,1
23,391.0,436.0,91.0,74.0,1
24,4.0,955.0,56.0,69.0,1
25,725.0,0.0,51.0,41.0,1
26,945.0,810.0,79.0,138.0,1
27,815.0,267.0,115.0,95.0,1
28,203.0,284.0,166.0,104.0,1
29,129.0,615.0,70.0,66.0,1
30,392.0,775.0,110.0,162.0,1
31,58.0,285.0,99.0,93.0,1
32,368.0,923.0,115.0,86.0,1
33,806.0,896.0,78.0,86.0,1
34,803.0,89.0,74.0,74.0,1
35,152.0,429.0,142.0,132.0,1
