#item,x,y,width,height,label
0,54.0,45.0,186.0,94.0,1
1,399.0,0.0,121.0,36.0,1
2,153.0,561.0,112.0,101.0,1
3,254.0,56.0,57.0,60.0,1
4,590.0,160.0,92.0,138.0,1
5,382.0,571.0,81.0,76.0,1
6,820.0,782.0,64.0,92.0,1
7,27.0,425.0,97.0,85.0,1
8,244.0,928.0,84.0,92.0,1
9,75.0,853.0,69.0,72.0,1
10,816.0,226.0,128.0,88.0,1
11,876.0,0.0,99.0,68.0,1
12,72.0,963.0,47.0,61.0,1
13,702.0,371.0,133.0,91.0,1
14,698.0,932.0,55.0,86.0,1
15,643.0,837.0,76.0,107.0,1
16,361.0,787.0,98.0,100.0,1
17,456.0,661.0,104.0,102.0,1
18,914.0,709.0,67.0,155.0,1
19,162.0,883.0,69.0,104.0,1
20,620.0,428.0,79.0,79.0,1
21,974.0,694.0,50.0,92.0,1
22,463.0,186.0,74.0,68.0,1
23,464.0,422.0,96.0,90.0,1
24,816.0,489.0,109.0,74.0,1
25,15.0,93.0,78.0,67.0,1
26,840.0,298.0,125.0,64.0,1
