#item,x,y,width,height,label
0,128.0,914.0,105.0,110.0,1
1,778.0,125.0,219.0,181.0,1
2,99.0,9.0,70.0,90.0,1
3,596.0,309.0,79.0,80.0,1
4,541.0,0.0,73.0,33.0,1
5,0.0,662.0,105.0,190.0,1
6,611.0,230.0,118.0,88.0,1
7,610.0,744.0,62.0,90.0,1
8,483.0,230.0,89.0,154.0,1
9,137.0,692.0,74.0,83.0,1
10,591.0,450.0,96.0,236.0,1
11,28.0,404.0,69.0,167.0,1
12,944.0,10.0,80.0,182.0,1
13,353.0,401.0,69.0,175.0,1
14,858.0,279.0,156.0,110.0,1
15,615.0,0.0,136.0,65.0,1
16,243.0,502.0,73.0,154.0,1
17,544.0,33.0,86.0,121.0,1
18,663.0,77.0,112.0,202.0,1
19,0.0,833.0,98.0,59.0,1
20,814.0,750.0,65.0,266.0,1
21,8.0,0.0,67.0,80.0,1
22,777.0,554.0,105.0,186.0,1
23,551.0,751.0,154.0,255.0,1
24,238.0,192.0,64.0,181.0,1
25,115.0,158.0,63.0,63.0,1
26,294.0,713.0,69.0,106.0,1
27,360.0,157.0,80.0,112.0,1
28,504.0,463.0,97.0,152.0,1
29,398.0,958.0,174.0,66.0,1
30,178.0,167.0,70.0,255.0,1
31,357.0,651.0,50.0,54.0,1
32,925.0,762.0,99.0,231.0,1
33,96.0,754.0,66.0,62.0,1
34,973.0,875.0,51.0,60.0,1
35,432.0,681.0,106.0,265.0,1
