#item,x,y,width,height,label
0,653.0,1.0,114.0,90.0,1
1,589.0,653.0,58.0,52.0,1
2,252.0,667.0,51.0,53.0,1
3,863.0,906.0,58.0,64.0,1
4,948.0,890.0,71.0,65.0,1
5,929.0,0.0,95.0,53.0,1
6,921.0,535.0,100.0,122.0,1
7,226.0,877.0,90.0,106.0,1
8,281.0,275.0,81.0,96.0,1
9,845.0,88.0,38.0,44.0,1
10,135.0,694.0,43.0,47.0,1
11,478.0,739.0,128.0,123.0,1
12,962.0,729.0,62.0,55.0,1
13,520.0,530.0,127.0,93.0,1
14,396.0,5.0,210.0,163.0,1
15,894.0,848.0,110.0,79.0,1
16,400.0,578.0,143.0,126.0,1
17,586.0,895.0,82.0,74.0,1
18,116.0,339.0,74.0,111.0,1
19,112.0,58.0,59.0,64.0,1
20,192.0,48.0,103.0,120.0,1
21,912.0,456.0,108.0,69.0,1
22,98.0,211.0,42.0,66.0,1
23,780.0,252.0,103.0,62.0,1
24,874.0,59.0,101.0,95.0,1
