#item,x,y,width,height,label
0,227.0,830.0,75.0,49.0,1
1,0.0,877.0,44.0,63.0,1
2,845.0,400.0,85.0,51.0,1
3,609.0,145.0,70.0,61.0,1
4,948.0,89.0,69.0,57.0,1
5,668.0,941.0,68.0,59.0,1
6,27.0,172.0,67.0,53.0,1
7,847.0,319.0,97.0,53.0,1
8,387.0,71.0,68.0,48.0,1
9,387.0,337.0,56.0,81.0,1
10,180.0,787.0,69.0,53.0,1
11,463.0,141.0,108.0,59.0,1
12,85.0,610.0,60.0,63.0,1
13,522.0,344.0,90.0,90.0,1
14,197.0,943.0,78.0,62.0,1
15,87.0,437.0,60.0,60.0,1
16,253.0,377.0,106.0,59.0,1
17,232.0,202.0,48.0,44.0,1
18,60.0,936.0,69.0,59.0,1
19,187.0,456.0,63.0,46.0,1
20,167.0,161.0,64.0,64.0,1
21,740.0,642.0,83.0,46.0,1
22,397.0,407.0,66.0,51.0,1
23,576.0,687.0,77.0,67.0,1
24,526.0,44.0,72.0,93.0,1
25,612.0,351.0,95.0,71.0,1
26,328.0,660.0,78.0,62.0,1
27,367.0,920.0,76.0,50.0,1
28,96.0,350.0,68.0,68.0,1
29,647.0,620.0,47.0,52.0,1
30,355.0,131.0,73.0,58.0,1
31,718.0,118.0,74.0,77.0,1
32,728.0,986.0,71.0,38.0,1
33,486.0,758.0,94.0,58.0,1
34,316.0,73.0,50.0,46.0,1
35,900.0,832.0,104.0,54.0,1
36,57.0,274.0,66.0,48.0,1
37,189.0,90.0,83.0,60.0,1
38,940.0,0.0,83.0,55.0,1
39,352.0,728.0,69.0,70.0,1
40,982.0,766.0,42.0,48.0,1
41,262.0,266.0,75.0,70.0,1
42,501.0,676.0,60.0,55.0,1
43,307.0,467.0,61.0,61.0,1
44,750.0,549.0,87.0,59.0,1
45,104.0,171.0,55.0,69.0,1
46,721.0,701.0,96.0,68.0,1
47,212.0,887.0,52.0,39.0,1
48,580.0,10.0,92.0,50.0,1
49,819.0,168.0,74.0,94.0,1
50,1.0,238.0,30.0,74.0,1
51,687.0,232.0,115.0,78.0,1
52,175.0,402.0,60.0,66.0,1
53,793.0,793.0,82.0,61.0,1
54,944.0,894.0,80.0,48.0,1
