#item,x,y,width,height,label
0,68.0,801.0,71.0,85.0,1
1,676.0,737.0,53.0,50.0,1
2,739.0,24.0,61.0,69.0,1
3,721.0,849.0,52.0,61.0,1
4,122.0,195.0,74.0,79.0,1
5,493.0,353.0,58.0,48.0,1
6,703.0,172.0,65.0,52.0,1
7,846.0,35.0,72.0,103.0,1
8,570.0,289.0,77.0,87.0,1
9,576.0,664.0,107.0,101.0,1
10,778.0,725.0,66.0,45.0,1
11,801.0,587.0,70.0,66.0,1
12,623.0,10.0,69.0,94.0,1
13,23.0,783.0,64.0,49.0,1
14,665.0,893.0,97.0,87.0,1
15,703.0,676.0,52.0,41.0,1
16,268.0,0.0,81.0,46.0,1
17,666.0,454.0,72.0,69.0,1
