#item,x,y,width,height,label
0,765.0,560.0,92.0,110.0,1
1,512.0,807.0,98.0,120.0,1
2,326.0,984.0,120.0,38.0,1
3,765.0,755.0,65.0,231.0,1
4,492.0,675.0,97.0,143.0,1
5,891.0,396.0,80.0,98.0,1
6,980.0,555.0,44.0,87.0,1
7,906.0,0.0,118.0,54.0,1
8,637.0,549.0,57.0,52.0,1
9,678.0,675.0,78.0,90.0,1
10,653.0,870.0,100.0,152.0,1
11,619.0,230.0,108.0,124.0,1
12,946.0,141.0,78.0,64.0,1
13,922.0,932.0,67.0,92.0,1
14,914.0,209.0,91.0,118.0,1
15,371.0,874.0,81.0,95.0,1
16,915.0,529.0,55.0,89.0,1
17,554.0,0.0,55.0,59.0,1
18,326.0,857.0,69.0,136.0,1
19,557.0,429.0,86.0,106.0,1
20,371.0,647.0,97.0,95.0,1
21,786.0,0.0,113.0,56.0,1
22,378.0,298.0,81.0,101.0,1
23,874.0,562.0,71.0,203.0,1
24,756.0,114.0,103.0,89.0,1
25,398.0,759.0,101.0,142.0,1
26,579.0,853.0,73.0,171.0,1
27,696.0,446.0,67.0,57.0,1
28,444.0,14.0,61.0,203.0,1
29,318.0,537.0,56.0,52.0,1
