#item,x,y,width,height,label
0,605.0,797.0,63.0,81.0,1
1,789.0,897.0,93.0,115.0,1
2,398.0,419.0,48.0,93.0,1
3,907.0,675.0,112.0,61.0,1
4,327.0,148.0,144.0,77.0,1
5,169.0,306.0,69.0,116.0,1
6,224.0,304.0,102.0,104.0,1
7,173.0,888.0,155.0,88.0,1
8,103.0,0.0,80.0,39.0,1
9,951.0,357.0,65.0,77.0,1
10,0.0,781.0,39.0,52.0,1
11,607.0,156.0,115.0,218.0,1
12,973.0,470.0,50.0,103.0,1
13,870.0,519.0,76.0,92.0,1
14,401.0,602.0,57.0,159.0,1
15,861.0,600.0,55.0,49.0,1
16,0.0,284.0,64.0,87.0,1
17,419.0,504.0,78.0,209.0,1
18,422.0,275.0,66.0,196.0,1
19,846.0,648.0,77.0,161.0,1
20,126.0,691.0,73.0,50.0,1
21,944.0,742.0,80.0,67.0,1
22,726.0,848.0,90.0,43.0,1
23,32.0,0.0,46.0,40.0,1
24,949.0,847.0,65.0,108.0,1
25,662.0,959.0,105.0,65.0,1
26,217.0,729.0,124.0,88.0,1
27,883.0,953.0,86.0,71.0,1
28,975.0,102.0,49.0,147.0,1
29,0.0,581.0,163.0,90.0,1
30,891.0,97.0,97.0,151.0,1
31,689.0,841.0,86.0,50.0,1
32,3.0,426.0,49.0,53.0,1
33,79.0,8.0,41.0,62.0,1
34,674.0,596.0,88.0,90.0,1
35,309.0,803.0,70.0,64.0,1
36,578.0,310.0,41.0,63.0,1
37,297.0,953.0,104.0,66.0,1
38,124.0,820.0,77.0,56.0,1
39,292.0,0.0,203.0,111.0,1
40,351.0,0.0,75.0,43.0,1
