#item,x,y,width,height,label
0,0.0,124.0,56.0,70.0,1
1,200.0,560.0,66.0,75.0,1
2,587.0,851.0,79.0,43.0,1
3,844.0,215.0,89.0,76.0,1
4,163.0,103.0,77.0,91.0,1
5,621.0,888.0,116.0,65.0,1
6,74.0,743.0,80.0,67.0,1
7,819.0,154.0,66.0,78.0,1
8,514.0,660.0,79.0,53.0,1
9,759.0,41.0,66.0,79.0,1
10,504.0,295.0,129.0,81.0,1
11,789.0,725.0,51.0,79.0,1
12,600.0,66.0,86.0,83.0,1
13,642.0,227.0,67.0,78.0,1
14,79.0,174.0,84.0,77.0,1
15,605.0,179.0,116.0,59.0,1
16,534.0,586.0,72.0,56.0,1
17,833.0,747.0,68.0,72.0,1
18,553.0,707.0,59.0,59.0,1
19,536.0,44.0,129.0,76.0,1
20,412.0,588.0,55.0,95.0,1
21,860.0,290.0,73.0,61.0,1
22,548.0,200.0,39.0,69.0,1
23,333.0,730.0,82.0,87.0,1
24,697.0,746.0,72.0,57.0,1
25,893.0,679.0,111.0,73.0,1
26,914.0,766.0,69.0,69.0,1
27,706.0,880.0,79.0,55.0,1
28,236.0,749.0,84.0,110.0,1
29,710.0,224.0,105.0,75.0,1
30,163.0,200.0,89.0,62.0,1
31,860.0,680.0,46.0,53.0,1
32,0.0,615.0,76.0,56.0,1
33,681.0,58.0,85.0,69.0,1
34,81.0,60.0,101.0,64.0,1
35,123.0,161.0,57.0,56.0,1
36,526.0,773.0,117.0,75.0,1
37,512.0,28.0,60.0,76.0,1
38,576.0,219.0,77.0,49.0,1
39,654.0,616.0,82.0,102.0,1
40,752.0,648.0,56.0,79.0,1
41,138.0,610.0,77.0,70.0,1
