#item,x,y,width,height,label
0,232.0,351.0,61.0,102.0,1
1,552.0,906.0,73.0,48.0,1
2,805.0,770.0,79.0,57.0,1
3,471.0,221.0,97.0,116.0,1
4,97.0,378.0,84.0,94.0,1
5,232.0,870.0,34.0,30.0,1
6,471.0,435.0,47.0,64.0,1
7,270.0,513.0,59.0,56.0,1
8,374.0,240.0,76.0,118.0,1
9,28.0,976.0,39.0,39.0,1
10,417.0,533.0,51.0,61.0,1
11,125.0,12.0,34.0,41.0,1
12,472.0,850.0,58.0,50.0,1
13,858.0,237.0,72.0,59.0,1
14,5.0,62.0,64.0,92.0,1
15,0.0,235.0,76.0,97.0,1
16,702.0,795.0,99.0,46.0,1
17,218.0,686.0,65.0,60.0,1
18,0.0,464.0,31.0,60.0,1
19,946.0,285.0,50.0,83.0,1
20,26.0,837.0,100.0,67.0,1
21,948.0,423.0,71.0,49.0,1
22,577.0,553.0,118.0,54.0,1
23,373.0,426.0,44.0,68.0,1
24,459.0,680.0,50.0,57.0,1
25,587.0,633.0,108.0,64.0,1
