#item,x,y,width,height,label
0,451.0,440.0,77.0,84.0,1
1,773.0,968.0,130.0,56.0,1
2,557.0,961.0,86.0,63.0,1
3,49.0,647.0,73.0,112.0,1
4,763.0,462.0,85.0,88.0,1
5,822.0,275.0,68.0,76.0,1
6,516.0,490.0,85.0,78.0,1
7,517.0,630.0,145.0,92.0,1
8,0.0,694.0,21.0,92.0,1
9,745.0,614.0,62.0,85.0,1
10,371.0,349.0,85.0,87.0,1
11,1.0,506.0,60.0,60.0,1
12,652.0,790.0,80.0,68.0,1
13,381.0,868.0,81.0,66.0,1
14,93.0,398.0,66.0,88.0,1
15,495.0,591.0,96.0,93.0,1
16,294.0,634.0,80.0,156.0,1
17,945.0,234.0,64.0,84.0,1
18,850.0,517.0,65.0,86.0,1
19,230.0,911.0,115.0,100.0,1
20,659.0,385.0,80.0,97.0,1
21,777.0,623.0,71.0,108.0,1
22,876.0,375.0,120.0,100.0,1
23,358.0,460.0,86.0,66.0,1
24,996.0,900.0,28.0,67.0,1
25,153.0,487.0,83.0,83.0,1
