#item,x,y,width,height,label
0,235.0,258.0,73.0,62.0,1
1,513.0,782.0,47.0,51.0,1
2,146.0,307.0,112.0,88.0,1
3,261.0,572.0,93.0,142.0,1
4,387.0,193.0,76.0,63.0,1
5,266.0,695.0,76.0,115.0,1
6,8.0,805.0,65.0,44.0,1
7,784.0,468.0,58.0,44.0,1
8,380.0,13.0,71.0,42.0,1
9,821.0,725.0,154.0,69.0,1
10,830.0,536.0,97.0,53.0,1
11,77.0,284.0,69.0,73.0,1
12,145.0,868.0,66.0,45.0,1
13,971.0,893.0,39.0,76.0,1
14,659.0,351.0,92.0,114.0,1
15,985.0,519.0,38.0,35.0,1
16,843.0,456.0,57.0,40.0,1
17,1001.0,887.0,23.0,37.0,1
18,599.0,306.0,39.0,45.0,1
19,636.0,43.0,65.0,41.0,1
20,133.0,75.0,48.0,43.0,1
21,862.0,367.0,70.0,38.0,1
22,445.0,425.0,73.0,44.0,1
23,57.0,831.0,76.0,62.0,1
24,892.0,628.0,98.0,71.0,1
25,585.0,62.0,46.0,44.0,1
26,784.0,104.0,40.0,56.0,1
27,366.0,552.0,139.0,136.0,1
28,828.0,802.0,89.0,95.0,1
29,62.0,233.0,66.0,49.0,1
30,896.0,298.0,48.0,27.0,1
31,3.0,952.0,43.0,42.0,1
32,720.0,466.0,97.0,78.0,1
33,122.0,162.0,103.0,61.0,1
34,567.0,930.0,77.0,45.0,1
35,635.0,373.0,117.0,39.0,1
36,284.0,336.0,85.0,66.0,1
37,823.0,987.0,94.0,37.0,1
38,245.0,431.0,76.0,47.0,1
39,706.0,840.0,113.0,70.0,1
40,671.0,977.0,40.0,38.0,1
41,556.0,585.0,57.0,54.0,1
42,14.0,595.0,78.0,157.0,1
43,671.0,108.0,64.0,48.0,1
44,885.0,494.0,95.0,32.0,1
45,496.0,508.0,87.0,75.0,1
46,68.0,948.0,75.0,47.0,1
47,218.0,198.0,34.0,23.0,1
48,778.0,829.0,67.0,34.0,1
49,412.0,0.0,39.0,21.0,1
50,81.0,167.0,41.0,30.0,1
51,0.0,515.0,52.0,48.0,1
52,156.0,641.0,74.0,41.0,1
53,520.0,819.0,69.0,70.0,1
54,698.0,872.0,79.0,69.0,1
55,810.0,653.0,105.0,68.0,1
56,796.0,376.0,67.0,56.0,1
57,839.0,236.0,90.0,40.0,1
58,232.0,825.0,70.0,135.0,1
59,705.0,166.0,97.0,55.0,1
60,266.0,488.0,63.0,39.0,1
