#item,x,y,width,height,label
0,500.0,811.0,74.0,164.0,1
1,331.0,149.0,49.0,109.0,1
2,630.0,873.0,69.0,64.0,1
3,663.0,964.0,58.0,53.0,1
4,342.0,877.0,83.0,94.0,1
5,860.0,77.0,95.0,73.0,1
6,399.0,47.0,102.0,88.0,1
7,925.0,469.0,71.0,49.0,1
8,507.0,479.0,75.0,92.0,1
9,713.0,772.0,71.0,75.0,1
10,0.0,752.0,43.0,70.0,1
11,643.0,530.0,70.0,50.0,1
12,175.0,856.0,89.0,70.0,1
13,781.0,98.0,64.0,77.0,1
14,262.0,0.0,90.0,58.0,1
15,389.0,404.0,44.0,55.0,1
16,0.0,279.0,58.0,67.0,1
17,202.0,458.0,70.0,84.0,1
18,268.0,615.0,79.0,65.0,1
19,575.0,602.0,124.0,78.0,1
20,55.0,769.0,65.0,95.0,1
21,362.0,784.0,87.0,78.0,1
22,594.0,34.0,96.0,66.0,1
23,220.0,735.0,53.0,48.0,1
24,114.0,925.0,75.0,99.0,1
25,254.0,269.0,36.0,60.0,1
26,595.0,688.0,99.0,66.0,1
27,114.0,788.0,69.0,67.0,1
28,749.0,680.0,102.0,113.0,1
29,671.0,49.0,88.0,77.0,1
30,953.0,27.0,71.0,82.0,1
31,864.0,689.0,59.0,37.0,1
32,368.0,0.0,61.0,92.0,1
33,408.0,552.0,77.0,65.0,1
34,438.0,646.0,68.0,76.0,1
35,585.0,336.0,91.0,49.0,1
36,716.0,878.0,67.0,92.0,1
37,175.0,102.0,49.0,65.0,1
38,64.0,467.0,65.0,64.0,1
39,254.0,124.0,83.0,88.0,1
40,171.0,535.0,79.0,99.0,1
41,645.0,407.0,121.0,107.0,1
42,572.0,225.0,101.0,76.0,1
43,253.0,679.0,52.0,35.0,1
44,972.0,400.0,52.0,88.0,1
45,324.0,630.0,66.0,75.0,1
46,68.0,548.0,67.0,72.0,1
