#item,x,y,width,height,label
0,970.0,130.0,54.0,185.0,1
1,56.0,86.0,85.0,128.0,1
2,760.0,346.0,100.0,134.0,1
3,773.0,211.0,64.0,135.0,1
4,401.0,0.0,96.0,86.0,1
5,510.0,760.0,71.0,70.0,1
6,947.0,67.0,77.0,93.0,1
7,610.0,342.0,145.0,160.0,1
8,589.0,711.0,85.0,117.0,1
9,664.0,832.0,119.0,107.0,1
10,396.0,256.0,111.0,137.0,1
11,171.0,762.0,175.0,152.0,1
12,308.0,635.0,111.0,115.0,1
13,762.0,924.0,94.0,74.0,1
14,165.0,614.0,167.0,148.0,1
15,98.0,967.0,129.0,57.0,1
16,887.0,180.0,90.0,69.0,1
17,583.0,0.0,62.0,141.0,1
18,576.0,531.0,139.0,147.0,1
19,463.0,826.0,83.0,104.0,1
20,766.0,478.0,102.0,177.0,1
