#item,x,y,width,height,label
0,724.0,855.0,147.0,111.0,1
1,208.0,352.0,66.0,115.0,1
2,461.0,931.0,124.0,93.0,1
3,436.0,0.0,100.0,85.0,1
4,152.0,220.0,69.0,114.0,1
5,176.0,113.0,89.0,67.0,1
6,634.0,640.0,133.0,164.0,1
7,763.0,124.0,77.0,65.0,1
8,275.0,935.0,142.0,77.0,1
9,678.0,253.0,103.0,108.0,1
10,864.0,544.0,116.0,171.0,1
11,26.0,431.0,114.0,200.0,1
12,767.0,16.0,113.0,76.0,1
13,792.0,444.0,96.0,106.0,1
14,147.0,550.0,107.0,106.0,1
15,283.0,265.0,82.0,165.0,1
16,685.0,512.0,94.0,83.0,1
17,281.0,813.0,92.0,102.0,1
18,300.0,204.0,132.0,110.0,1
19,38.0,218.0,88.0,136.0,1
20,422.0,879.0,110.0,77.0,1
21,362.0,168.0,136.0,185.0,1
22,222.0,37.0,107.0,82.0,1
23,25.0,975.0,98.0,49.0,1
24,365.0,448.0,104.0,156.0,1
25,47.0,0.0,90.0,46.0,1
