#item,x,y,width,height,label
0,62.0,623.0,110.0,69.0,1
1,868.0,678.0,156.0,95.0,1
2,147.0,795.0,110.0,68.0,1
3,42.0,736.0,69.0,189.0,1
4,0.0,35.0,128.0,56.0,1
5,121.0,719.0,83.0,118.0,1
6,961.0,0.0,59.0,64.0,1
7,186.0,0.0,61.0,43.0,1
8,328.0,688.0,68.0,53.0,1
9,493.0,647.0,85.0,64.0,1
10,563.0,480.0,122.0,66.0,1
11,204.0,667.0,43.0,41.0,1
12,58.0,559.0,97.0,47.0,1
13,832.0,34.0,146.0,82.0,1
14,49.0,677.0,120.0,56.0,1
15,95.0,992.0,39.0,32.0,1
16,932.0,571.0,58.0,75.0,1
17,937.0,128.0,74.0,79.0,1
18,219.0,532.0,51.0,62.0,1
19,899.0,221.0,89.0,70.0,1
20,335.0,0.0,99.0,55.0,1
21,145.0,738.0,146.0,56.0,1
22,257.0,516.0,66.0,77.0,1
23,482.0,849.0,61.0,86.0,1
24,179.0,615.0,91.0,49.0,1
25,561.0,78.0,121.0,72.0,1
26,859.0,427.0,55.0,76.0,1
27,201.0,29.0,146.0,118.0,1
28,727.0,909.0,56.0,51.0,1
29,147.0,431.0,90.0,65.0,1
30,469.0,537.0,72.0,108.0,1
31,975.0,892.0,49.0,83.0,1
32,9.0,863.0,171.0,91.0,1
33,541.0,496.0,57.0,94.0,1
34,709.0,716.0,66.0,84.0,1
35,756.0,625.0,81.0,66.0,1
36,647.0,941.0,112.0,74.0,1
37,320.0,742.0,89.0,42.0,1
38,873.0,337.0,47.0,47.0,1
39,314.0,542.0,165.0,108.0,1
40,249.0,1.0,49.0,43.0,1
41,280.0,635.0,68.0,76.0,1
42,19.0,0.0,137.0,27.0,1
43,667.0,900.0,81.0,46.0,1
44,131.0,580.0,75.0,47.0,1
45,73.0,455.0,71.0,53.0,1
46,511.0,0.0,115.0,75.0,1
47,698.0,620.0,74.0,103.0,1
48,663.0,0.0,66.0,32.0,1
49,878.0,798.0,64.0,120.0,1
50,146.0,143.0,154.0,57.0,1
51,380.0,755.0,41.0,100.0,1
