#item,x,y,width,height,label
0,179.0,129.0,49.0,64.0,1
1,196.0,866.0,71.0,91.0,1
2,531.0,573.0,66.0,53.0,1
3,440.0,63.0,75.0,57.0,1
4,881.0,119.0,62.0,58.0,1
5,812.0,313.0,69.0,50.0,1
6,913.0,419.0,46.0,59.0,1
7,502.0,956.0,61.0,50.0,1
8,35.0,729.0,76.0,68.0,1
9,294.0,320.0,65.0,41.0,1
10,922.0,690.0,66.0,55.0,1
11,49.0,308.0,47.0,53.0,1
12,255.0,611.0,38.0,38.0,1
13,301.0,205.0,83.0,64.0,1
14,476.0,725.0,78.0,51.0,1
15,331.0,539.0,95.0,55.0,1
16,680.0,303.0,56.0,33.0,1
17,978.0,516.0,46.0,69.0,1
18,794.0,896.0,49.0,50.0,1
19,362.0,77.0,56.0,56.0,1
20,401.0,632.0,56.0,56.0,1
21,710.0,469.0,60.0,48.0,1
22,593.0,213.0,43.0,40.0,1
23,174.0,669.0,61.0,82.0,1
24,988.0,236.0,36.0,58.0,1
25,859.0,19.0,50.0,59.0,1
26,202.0,23.0,60.0,60.0,1
27,957.0,318.0,54.0,53.0,1
28,928.0,972.0,69.0,50.0,1
29,99.0,989.0,65.0,35.0,1
30,45.0,195.0,52.0,37.0,1
31,336.0,642.0,37.0,33.0,1
32,737.0,645.0,73.0,83.0,1
33,798.0,472.0,56.0,59.0,1
34,306.0,374.0,101.0,56.0,1
35,88.0,312.0,86.0,67.0,1
36,480.0,407.0,66.0,54.0,1
37,695.0,230.0,90.0,65.0,1
38,886.0,556.0,58.0,55.0,1
39,7.0,966.0,55.0,53.0,1
40,787.0,109.0,54.0,49.0,1
41,45.0,156.0,89.0,50.0,1
42,395.0,578.0,57.0,43.0,1
43,298.0,629.0,37.0,30.0,1
44,221.0,90.0,44.0,49.0,1
45,202.0,485.0,65.0,61.0,1
46,776.0,978.0,85.0,46.0,1
47,904.0,265.0,41.0,51.0,1
48,479.0,273.0,64.0,40.0,1
49,558.0,627.0,39.0,50.0,1
50,60.0,596.0,84.0,73.0,1
51,205.0,403.0,56.0,63.0,1
