#item,x,y,width,height,label
0,777.0,566.0,74.0,75.0,1
1,879.0,391.0,61.0,44.0,1
2,384.0,526.0,58.0,64.0,1
3,241.0,797.0,59.0,61.0,1
4,38.0,984.0,53.0,40.0,1
5,836.0,0.0,102.0,43.0,1
6,271.0,700.0,61.0,49.0,1
7,349.0,684.0,50.0,99.0,1
8,913.0,555.0,84.0,57.0,1
9,964.0,639.0,60.0,138.0,1
10,896.0,108.0,54.0,41.0,1
11,272.0,636.0,65.0,52.0,1
12,109.0,853.0,83.0,56.0,1
13,187.0,934.0,67.0,65.0,1
14,750.0,137.0,67.0,48.0,1
15,683.0,655.0,54.0,62.0,1
16,721.0,84.0,108.0,56.0,1
17,25.0,907.0,46.0,46.0,1
18,142.0,936.0,53.0,77.0,1
19,849.0,792.0,129.0,137.0,1
20,146.0,1.0,55.0,54.0,1
21,927.0,0.0,97.0,40.0,1
22,66.0,796.0,64.0,56.0,1
23,735.0,269.0,43.0,63.0,1
24,652.0,602.0,89.0,49.0,1
25,252.0,453.0,60.0,77.0,1
26,865.0,132.0,101.0,64.0,1
27,526.0,968.0,61.0,53.0,1
28,900.0,493.0,71.0,49.0,1
29,773.0,663.0,82.0,49.0,1
30,515.0,851.0,56.0,40.0,1
31,156.0,760.0,79.0,53.0,1
32,847.0,530.0,55.0,57.0,1
33,846.0,444.0,68.0,65.0,1
