#item,x,y,width,height,label
0,425.0,505.0,44.0,45.0,1
1,714.0,330.0,66.0,63.0,1
2,905.0,934.0,57.0,60.0,1
3,842.0,9.0,40.0,49.0,1
4,975.0,347.0,35.0,63.0,1
5,445.0,124.0,45.0,48.0,1
6,114.0,944.0,47.0,52.0,1
7,198.0,365.0,45.0,44.0,1
8,608.0,701.0,58.0,67.0,1
9,61.0,176.0,69.0,92.0,1
10,131.0,409.0,33.0,36.0,1
11,711.0,540.0,54.0,53.0,1
12,308.0,758.0,58.0,40.0,1
13,701.0,40.0,74.0,64.0,1
14,372.0,257.0,77.0,72.0,1
15,934.0,276.0,64.0,75.0,1
16,8.0,19.0,71.0,61.0,1
17,460.0,337.0,53.0,73.0,1
18,726.0,124.0,44.0,54.0,1
19,478.0,609.0,38.0,35.0,1
20,868.0,450.0,36.0,42.0,1
21,914.0,28.0,41.0,57.0,1
22,353.0,554.0,33.0,27.0,1
23,9.0,462.0,64.0,44.0,1
24,0.0,581.0,44.0,49.0,1
25,642.0,540.0,69.0,76.0,1
26,261.0,231.0,51.0,62.0,1
27,286.0,486.0,65.0,54.0,1
