#item,x,y,width,height,label
0,374.0,763.0,118.0,60.0,1
1,0.0,284.0,70.0,130.0,1
2,555.0,639.0,79.0,68.0,1
3,126.0,78.0,98.0,63.0,1
4,295.0,884.0,70.0,95.0,1
5,302.0,829.0,72.0,59.0,1
6,407.0,967.0,67.0,57.0,1
7,691.0,777.0,82.0,108.0,1
8,228.0,840.0,60.0,82.0,1
9,971.0,397.0,53.0,99.0,1
10,795.0,262.0,112.0,92.0,1
11,609.0,25.0,72.0,78.0,1
12,67.0,242.0,82.0,60.0,1
13,701.0,888.0,80.0,46.0,1
14,852.0,783.0,68.0,62.0,1
15,815.0,593.0,93.0,63.0,1
16,315.0,671.0,136.0,59.0,1
17,367.0,460.0,99.0,69.0,1
18,441.0,828.0,68.0,71.0,1
19,284.0,104.0,83.0,68.0,1
20,258.0,266.0,79.0,70.0,1
21,627.0,727.0,78.0,92.0,1
22,459.0,684.0,93.0,112.0,1
23,718.0,683.0,81.0,74.0,1
24,463.0,189.0,61.0,88.0,1
25,770.0,164.0,66.0,57.0,1
26,119.0,378.0,60.0,62.0,1
27,275.0,509.0,82.0,77.0,1
28,665.0,564.0,92.0,90.0,1
29,832.0,996.0,56.0,28.0,1
30,191.0,333.0,51.0,59.0,1
31,919.0,722.0,74.0,67.0,1
32,146.0,617.0,79.0,69.0,1
33,561.0,384.0,71.0,64.0,1
34,772.0,514.0,91.0,79.0,1
35,112.0,134.0,109.0,81.0,1
36,692.0,242.0,65.0,76.0,1
37,0.0,759.0,73.0,122.0,1
38,216.0,2.0,63.0,92.0,1
39,230.0,757.0,132.0,81.0,1
40,399.0,539.0,64.0,62.0,1
41,609.0,168.0,89.0,71.0,1
42,490.0,550.0,65.0,73.0,1
43,626.0,467.0,53.0,63.0,1
44,82.0,783.0,89.0,58.0,1
