#item,x,y,width,height,label
0,0.0,353.0,87.0,85.0,1
1,981.0,618.0,42.0,60.0,1
2,4.0,23.0,80.0,79.0,1
3,442.0,306.0,183.0,57.0,1
4,743.0,1.0,62.0,67.0,1
5,564.0,530.0,128.0,73.0,1
6,655.0,683.0,101.0,66.0,1
7,16.0,985.0,183.0,39.0,1
8,372.0,291.0,119.0,94.0,1
9,935.0,28.0,75.0,74.0,1
10,1.0,707.0,64.0,87.0,1
11,334.0,1.0,100.0,29.0,1
12,716.0,339.0,167.0,70.0,1
13,299.0,697.0,136.0,119.0,1
14,1.0,1.0,144.0,49.0,1
15,875.0,870.0,123.0,77.0,1
16,404.0,526.0,102.0,55.0,1
17,508.0,201.0,123.0,75.0,1
18,614.0,849.0,122.0,72.0,1
19,751.0,248.0,75.0,81.0,1
20,775.0,803.0,107.0,100.0,1
21,150.0,767.0,98.0,98.0,1
22,753.0,112.0,140.0,89.0,1
23,135.0,678.0,159.0,51.0,1
24,690.0,455.0,67.0,64.0,1
25,856.0,142.0,100.0,67.0,1
26,172.0,617.0,76.0,56.0,1
27,320.0,149.0,172.0,54.0,1
28,656.0,947.0,144.0,50.0,1
29,598.0,467.0,66.0,86.0,1
30,349.0,703.0,156.0,69.0,1
31,549.0,685.0,137.0,77.0,1
32,431.0,447.0,96.0,82.0,1
33,0.0,585.0,145.0,87.0,1
34,16.0,393.0,124.0,63.0,1
35,21.0,156.0,143.0,98.0,1
36,349.0,182.0,143.0,84.0,1
37,216.0,437.0,93.0,83.0,1
38,170.0,122.0,102.0,50.0,1
39,549.0,803.0,33.0,43.0,1
40,794.0,1.0,58.0,41.0,1
41,169.0,325.0,116.0,97.0,1
