#item,x,y,width,height,label
0,284.0,142.0,62.0,53.0,1
1,757.0,635.0,121.0,77.0,1
2,970.0,192.0,54.0,71.0,1
3,879.0,600.0,106.0,83.0,1
4,44.0,205.0,83.0,117.0,1
5,664.0,692.0,64.0,114.0,1
6,198.0,182.0,72.0,67.0,1
7,747.0,101.0,74.0,74.0,1
8,539.0,92.0,80.0,61.0,1
9,266.0,744.0,78.0,54.0,1
10,787.0,448.0,71.0,86.0,1
11,597.0,899.0,87.0,102.0,1
12,321.0,185.0,119.0,77.0,1
13,574.0,310.0,56.0,56.0,1
14,505.0,148.0,70.0,60.0,1
15,195.0,832.0,101.0,65.0,1
16,128.0,69.0,72.0,113.0,1
17,61.0,0.0,54.0,42.0,1
18,555.0,200.0,86.0,61.0,1
19,56.0,320.0,90.0,83.0,1
20,6.0,935.0,57.0,54.0,1
21,230.0,826.0,169.0,129.0,1
22,44.0,549.0,110.0,70.0,1
23,774.0,858.0,141.0,76.0,1
24,744.0,1.0,78.0,42.0,1
25,120.0,737.0,104.0,80.0,1
26,802.0,266.0,118.0,111.0,1
27,320.0,0.0,102.0,58.0,1
28,935.0,0.0,58.0,63.0,1
29,135.0,915.0,78.0,64.0,1
30,7.0,10.0,92.0,95.0,1
31,834.0,197.0,71.0,67.0,1
32,804.0,729.0,103.0,74.0,1
33,755.0,382.0,77.0,46.0,1
34,45.0,436.0,60.0,52.0,1
35,623.0,874.0,64.0,51.0,1
36,466.0,524.0,69.0,90.0,1
37,409.0,647.0,100.0,62.0,1
38,703.0,235.0,111.0,76.0,1
39,676.0,307.0,90.0,69.0,1
40,677.0,740.0,106.0,39.0,1
41,279.0,699.0,127.0,75.0,1
