#item,x,y,width,height,label
0,542.0,324.0,62.0,53.0,1
1,495.0,201.0,59.0,55.0,1
2,383.0,142.0,87.0,85.0,1
3,358.0,42.0,77.0,79.0,1
4,756.0,580.0,109.0,104.0,1
5,408.0,692.0,196.0,88.0,1
6,952.0,184.0,62.0,77.0,1
7,433.0,264.0,82.0,99.0,1
8,429.0,781.0,117.0,66.0,1
9,731.0,146.0,89.0,99.0,1
10,188.0,203.0,181.0,135.0,1
11,0.0,139.0,92.0,51.0,1
12,0.0,187.0,68.0,38.0,1
13,174.0,737.0,105.0,98.0,1
14,982.0,850.0,35.0,35.0,1
15,564.0,881.0,61.0,50.0,1
16,832.0,364.0,57.0,65.0,1
17,613.0,224.0,86.0,106.0,1
18,472.0,435.0,98.0,99.0,1
19,804.0,434.0,125.0,102.0,1
20,190.0,393.0,145.0,98.0,1
21,83.0,86.0,75.0,77.0,1
22,728.0,904.0,88.0,79.0,1
23,576.0,600.0,89.0,64.0,1
24,135.0,474.0,101.0,78.0,1
25,222.0,369.0,69.0,53.0,1
26,502.0,824.0,124.0,96.0,1
27,706.0,373.0,33.0,37.0,1
28,685.0,298.0,40.0,60.0,1
29,939.0,129.0,81.0,63.0,1
