#item,x,y,width,height,label
0,375.0,0.0,234.0,71.0,1
1,963.0,16.0,58.0,54.0,1
2,387.0,613.0,129.0,66.0,1
3,964.0,813.0,60.0,71.0,1
4,147.0,377.0,112.0,66.0,1
5,290.0,107.0,92.0,56.0,1
6,140.0,0.0,92.0,35.0,1
7,981.0,291.0,43.0,69.0,1
8,696.0,67.0,77.0,81.0,1
9,890.0,596.0,112.0,89.0,1
10,752.0,173.0,86.0,51.0,1
11,264.0,423.0,65.0,47.0,1
12,0.0,362.0,59.0,62.0,1
13,176.0,679.0,141.0,72.0,1
14,745.0,306.0,61.0,100.0,1
15,176.0,137.0,129.0,67.0,1
16,796.0,4.0,57.0,81.0,1
17,375.0,357.0,118.0,62.0,1
18,476.0,213.0,96.0,63.0,1
19,0.0,129.0,123.0,61.0,1
20,906.0,344.0,80.0,66.0,1
21,434.0,54.0,103.0,83.0,1
22,271.0,873.0,136.0,64.0,1
23,663.0,545.0,92.0,57.0,1
24,810.0,214.0,75.0,64.0,1
25,579.0,129.0,96.0,94.0,1
26,805.0,498.0,106.0,82.0,1
27,634.0,403.0,74.0,118.0,1
28,266.0,0.0,52.0,72.0,1
29,799.0,90.0,77.0,66.0,1
30,238.0,327.0,69.0,89.0,1
31,747.0,446.0,56.0,99.0,1
32,718.0,749.0,69.0,56.0,1
33,542.0,300.0,110.0,54.0,1
34,192.0,558.0,165.0,87.0,1
35,343.0,323.0,80.0,49.0,1
