#item,x,y,width,height,label
0,358.0,174.0,57.0,57.0,1
1,949.0,874.0,75.0,63.0,1
2,512.0,908.0,111.0,116.0,1
3,157.0,833.0,78.0,94.0,1
4,533.0,269.0,58.0,64.0,1
5,561.0,842.0,92.0,42.0,1
6,34.0,807.0,63.0,77.0,1
7,848.0,296.0,92.0,96.0,1
8,874.0,523.0,64.0,96.0,1
9,534.0,398.0,98.0,60.0,1
10,264.0,814.0,68.0,64.0,1
11,996.0,73.0,28.0,94.0,1
12,135.0,870.0,50.0,52.0,1
13,187.0,589.0,70.0,120.0,1
14,793.0,841.0,76.0,118.0,1
15,370.0,920.0,153.0,78.0,1
16,343.0,17.0,130.0,91.0,1
17,403.0,739.0,102.0,132.0,1
18,608.0,331.0,60.0,72.0,1
19,823.0,688.0,70.0,70.0,1
20,899.0,406.0,71.0,54.0,1
21,313.0,555.0,90.0,142.0,1
22,109.0,961.0,76.0,63.0,1
23,337.0,0.0,70.0,59.0,1
24,926.0,878.0,68.0,83.0,1
25,8.0,0.0,77.0,64.0,1
26,503.0,18.0,80.0,60.0,1
27,972.0,829.0,52.0,94.0,1
28,78.0,387.0,60.0,62.0,1
29,30.0,512.0,79.0,105.0,1
30,3.0,359.0,85.0,125.0,1
31,574.0,29.0,67.0,74.0,1
32,879.0,728.0,104.0,74.0,1
33,519.0,111.0,101.0,45.0,1
34,144.0,123.0,118.0,115.0,1
35,527.0,607.0,83.0,59.0,1
36,978.0,157.0,46.0,124.0,1
37,108.0,0.0,107.0,59.0,1
38,422.0,90.0,60.0,59.0,1
39,933.0,15.0,68.0,137.0,1
40,369.0,418.0,93.0,68.0,1
41,434.0,287.0,59.0,57.0,1
42,236.0,718.0,106.0,78.0,1
43,889.0,0.0,45.0,47.0,1
44,268.0,101.0,89.0,145.0,1
45,156.0,707.0,67.0,95.0,1
46,746.0,79.0,68.0,152.0,1
