#item,x,y,width,height,label
0,549.0,722.0,91.0,102.0,1
1,866.0,694.0,158.0,97.0,1
2,448.0,311.0,95.0,189.0,1
3,0.0,339.0,60.0,86.0,1
4,314.0,0.0,89.0,72.0,1
5,622.0,460.0,119.0,161.0,1
6,659.0,699.0,101.0,123.0,1
7,772.0,311.0,78.0,53.0,1
8,0.0,8.0,38.0,132.0,1
9,851.0,392.0,95.0,57.0,1
10,363.0,943.0,44.0,65.0,1
11,492.0,0.0,142.0,66.0,1
12,68.0,353.0,63.0,182.0,1
13,175.0,353.0,71.0,133.0,1
14,41.0,499.0,77.0,151.0,1
15,481.0,794.0,100.0,119.0,1
16,567.0,0.0,149.0,88.0,1
17,788.0,394.0,69.0,57.0,1
18,404.0,477.0,87.0,146.0,1
19,727.0,680.0,57.0,85.0,1
20,218.0,858.0,171.0,100.0,1
21,318.0,695.0,110.0,62.0,1
22,973.0,94.0,51.0,64.0,1
23,0.0,423.0,41.0,76.0,1
24,994.0,690.0,30.0,99.0,1
25,862.0,951.0,107.0,73.0,1
26,866.0,124.0,62.0,62.0,1
27,34.0,64.0,114.0,46.0,1
28,714.0,159.0,84.0,105.0,1
29,768.0,446.0,74.0,130.0,1
30,122.0,143.0,94.0,152.0,1
31,0.0,720.0,74.0,85.0,1
32,956.0,905.0,68.0,78.0,1
33,148.0,0.0,75.0,141.0,1
34,797.0,741.0,54.0,55.0,1
35,0.0,621.0,72.0,66.0,1
36,925.0,3.0,95.0,78.0,1
37,686.0,392.0,68.0,56.0,1
38,579.0,513.0,62.0,175.0,1
39,502.0,375.0,71.0,84.0,1
