#item,x,y,width,height,label
0,109.0,1.0,83.0,65.0,1
1,428.0,716.0,73.0,65.0,1
2,0.0,321.0,82.0,112.0,1
3,0.0,63.0,64.0,63.0,1
4,364.0,459.0,98.0,111.0,1
5,231.0,500.0,83.0,55.0,1
6,164.0,843.0,111.0,53.0,1
7,615.0,691.0,79.0,58.0,1
8,462.0,585.0,64.0,57.0,1
9,785.0,563.0,111.0,67.0,1
10,38.0,505.0,133.0,55.0,1
11,904.0,234.0,46.0,135.0,1
12,634.0,41.0,68.0,71.0,1
13,793.0,301.0,56.0,147.0,1
14,132.0,502.0,49.0,35.0,1
15,287.0,843.0,63.0,80.0,1
16,111.0,886.0,99.0,88.0,1
17,243.0,275.0,75.0,132.0,1
18,0.0,575.0,73.0,63.0,1
19,366.0,761.0,104.0,69.0,1
20,291.0,948.0,83.0,58.0,1
21,93.0,798.0,108.0,61.0,1
22,766.0,803.0,79.0,94.0,1
23,51.0,0.0,57.0,117.0,1
24,351.0,881.0,85.0,72.0,1
25,586.0,750.0,134.0,83.0,1
26,864.0,374.0,74.0,112.0,1
27,432.0,661.0,79.0,79.0,1
28,110.0,1.0,82.0,66.0,1
29,858.0,10.0,34.0,56.0,1
30,355.0,613.0,70.0,134.0,1
31,543.0,938.0,107.0,75.0,1
32,935.0,49.0,81.0,67.0,1
33,486.0,0.0,52.0,36.0,1
34,358.0,523.0,74.0,54.0,1
35,292.0,307.0,73.0,118.0,1
36,180.0,500.0,77.0,67.0,1
37,537.0,0.0,113.0,94.0,1
38,724.0,875.0,56.0,99.0,1
39,430.0,791.0,66.0,80.0,1
40,743.0,337.0,61.0,108.0,1
41,840.0,792.0,113.0,71.0,1
42,10.0,832.0,132.0,49.0,1
43,565.0,216.0,86.0,101.0,1
44,499.0,798.0,87.0,65.0,1
45,66.0,193.0,110.0,125.0,1
46,855.0,910.0,156.0,114.0,1
47,249.0,739.0,69.0,54.0,1
