#item,x,y,width,height,label
0,828.0,348.0,55.0,46.0,1
1,489.0,537.0,81.0,113.0,1
2,392.0,99.0,47.0,58.0,1
3,860.0,822.0,39.0,43.0,1
4,468.0,34.0,53.0,65.0,1
5,949.0,680.0,70.0,108.0,1
6,899.0,405.0,57.0,73.0,1
7,304.0,216.0,57.0,47.0,1
8,271.0,14.0,47.0,60.0,1
9,803.0,169.0,42.0,34.0,1
10,976.0,497.0,48.0,57.0,1
11,344.0,749.0,57.0,53.0,1
12,290.0,376.0,46.0,26.0,1
13,854.0,549.0,39.0,61.0,1
14,385.0,232.0,70.0,62.0,1
15,795.0,18.0,34.0,42.0,1
16,299.0,461.0,72.0,82.0,1
17,745.0,832.0,74.0,92.0,1
18,957.0,597.0,60.0,57.0,1
19,56.0,308.0,56.0,34.0,1
20,410.0,636.0,63.0,42.0,1
