#item,x,y,width,height,label
0,0.0,379.0,93.0,98.0,1
1,389.0,728.0,88.0,84.0,1
2,822.0,323.0,74.0,99.0,1
3,952.0,414.0,70.0,96.0,1
4,732.0,0.0,119.0,183.0,1
5,617.0,172.0,72.0,74.0,1
6,873.0,464.0,85.0,96.0,1
7,833.0,556.0,75.0,100.0,1
8,574.0,332.0,96.0,77.0,1
9,466.0,807.0,105.0,81.0,1
10,349.0,853.0,117.0,99.0,1
11,230.0,915.0,88.0,109.0,1
12,0.0,257.0,100.0,114.0,1
13,467.0,107.0,67.0,71.0,1
14,240.0,159.0,102.0,97.0,1
15,272.0,271.0,122.0,128.0,1
16,382.0,397.0,83.0,104.0,1
17,221.0,241.0,144.0,94.0,1
18,28.0,746.0,143.0,116.0,1
19,95.0,19.0,101.0,81.0,1
20,722.0,855.0,67.0,70.0,1
21,330.0,805.0,62.0,56.0,1
22,0.0,95.0,58.0,62.0,1
23,111.0,497.0,93.0,86.0,1
24,68.0,140.0,71.0,61.0,1
25,424.0,0.0,49.0,77.0,1
26,895.0,692.0,129.0,71.0,1
27,968.0,304.0,56.0,112.0,1
28,351.0,989.0,91.0,35.0,1
29,873.0,228.0,74.0,111.0,1
30,856.0,872.0,113.0,85.0,1
31,665.0,68.0,73.0,158.0,1
32,600.0,655.0,88.0,122.0,1
33,387.0,277.0,130.0,112.0,1
