#item,x,y,width,height,label
0,332.0,170.0,138.0,62.0,1
1,402.0,359.0,68.0,62.0,1
2,598.0,318.0,99.0,78.0,1
3,679.0,118.0,112.0,50.0,1
4,18.0,272.0,94.0,79.0,1
5,912.0,818.0,112.0,107.0,1
6,897.0,320.0,127.0,79.0,1
7,557.0,710.0,109.0,126.0,1
8,411.0,453.0,103.0,67.0,1
9,440.0,526.0,57.0,69.0,1
10,602.0,49.0,58.0,58.0,1
11,144.0,676.0,95.0,63.0,1
12,499.0,955.0,107.0,51.0,1
13,799.0,15.0,95.0,64.0,1
14,81.0,568.0,102.0,80.0,1
15,572.0,268.0,73.0,53.0,1
16,684.0,720.0,71.0,91.0,1
17,512.0,706.0,64.0,44.0,1
18,82.0,7.0,73.0,67.0,1
19,200.0,778.0,73.0,48.0,1
20,795.0,538.0,127.0,64.0,1
21,870.0,56.0,78.0,78.0,1
22,538.0,0.0,88.0,56.0,1
23,911.0,402.0,113.0,77.0,1
24,511.0,636.0,139.0,83.0,1
25,550.0,333.0,66.0,73.0,1
26,565.0,428.0,76.0,66.0,1
27,363.0,223.0,66.0,78.0,1
28,673.0,52.0,101.0,71.0,1
29,479.0,761.0,66.0,65.0,1
30,539.0,499.0,95.0,58.0,1
31,44.0,488.0,68.0,124.0,1
32,907.0,114.0,102.0,54.0,1
33,842.0,885.0,78.0,47.0,1
34,206.0,144.0,65.0,57.0,1
35,645.0,381.0,93.0,70.0,1
36,182.0,893.0,87.0,75.0,1
37,404.0,772.0,67.0,54.0,1
38,0.0,358.0,101.0,65.0,1
39,179.0,466.0,97.0,65.0,1
40,73.0,930.0,91.0,81.0,1
41,240.0,727.0,62.0,50.0,1
42,492.0,266.0,63.0,63.0,1
43,309.0,447.0,84.0,73.0,1
44,324.0,301.0,69.0,62.0,1
45,546.0,847.0,170.0,72.0,1
46,404.0,837.0,104.0,64.0,1
47,908.0,606.0,53.0,62.0,1
48,291.0,234.0,61.0,61.0,1
49,752.0,684.0,126.0,59.0,1
50,523.0,84.0,66.0,60.0,1
51,324.0,366.0,61.0,56.0,1
52,116.0,253.0,92.0,65.0,1
53,115.0,758.0,70.0,46.0,1
54,817.0,587.0,76.0,54.0,1
55,227.0,58.0,80.0,102.0,1
56,109.0,396.0,97.0,64.0,1
57,768.0,867.0,155.0,126.0,1
58,829.0,762.0,48.0,44.0,1
