#item,x,y,width,height,label
0,272.0,567.0,73.0,67.0,1
1,389.0,692.0,65.0,81.0,1
2,726.0,624.0,100.0,134.0,1
3,79.0,719.0,83.0,91.0,1
4,482.0,671.0,148.0,155.0,1
5,846.0,28.0,104.0,115.0,1
6,0.0,585.0,119.0,83.0,1
7,48.0,173.0,166.0,130.0,1
8,62.0,1.0,73.0,57.0,1
9,64.0,159.0,76.0,68.0,1
10,482.0,17.0,159.0,81.0,1
11,522.0,846.0,159.0,137.0,1
12,668.0,698.0,70.0,94.0,1
13,144.0,571.0,100.0,100.0,1
14,384.0,417.0,66.0,80.0,1
15,162.0,773.0,95.0,167.0,1
16,975.0,472.0,49.0,96.0,1
17,473.0,287.0,143.0,70.0,1
18,406.0,578.0,146.0,72.0,1
19,543.0,324.0,88.0,83.0,1
20,111.0,55.0,96.0,87.0,1
21,916.0,885.0,100.0,139.0,1
22,751.0,486.0,113.0,119.0,1
23,105.0,435.0,63.0,94.0,1
24,0.0,57.0,82.0,49.0,1
25,451.0,96.0,79.0,79.0,1
26,207.0,167.0,165.0,151.0,1
27,481.0,474.0,72.0,62.0,1
28,218.0,456.0,71.0,96.0,1
29,377.0,152.0,60.0,75.0,1
30,455.0,175.0,49.0,113.0,1
31,315.0,34.0,93.0,68.0,1
32,332.0,808.0,102.0,119.0,1
33,213.0,720.0,81.0,104.0,1
34,277.0,91.0,82.0,66.0,1
