#item,x,y,width,height,label
0,732.0,497.0,64.0,63.0,1
1,101.0,14.0,112.0,84.0,1
2,433.0,213.0,72.0,56.0,1
3,957.0,501.0,67.0,74.0,1
4,883.0,353.0,70.0,72.0,1
5,441.0,661.0,70.0,86.0,1
6,539.0,478.0,76.0,55.0,1
7,283.0,470.0,82.0,61.0,1
8,148.0,118.0,75.0,61.0,1
9,335.0,21.0,84.0,79.0,1
10,191.0,89.0,78.0,64.0,1
11,240.0,555.0,74.0,88.0,1
12,114.0,661.0,105.0,60.0,1
13,342.0,100.0,96.0,76.0,1
14,0.0,108.0,58.0,79.0,1
15,388.0,271.0,82.0,91.0,1
16,108.0,914.0,82.0,84.0,1
17,833.0,0.0,56.0,49.0,1
18,800.0,638.0,69.0,56.0,1
19,677.0,806.0,40.0,30.0,1
20,955.0,707.0,69.0,63.0,1
21,32.0,945.0,66.0,79.0,1
22,837.0,67.0,86.0,91.0,1
23,961.0,73.0,63.0,74.0,1
24,863.0,613.0,59.0,56.0,1
25,246.0,736.0,67.0,68.0,1
26,617.0,82.0,66.0,64.0,1
27,852.0,149.0,71.0,65.0,1
28,706.0,0.0,67.0,73.0,1
29,463.0,519.0,98.0,64.0,1
30,963.0,834.0,61.0,95.0,1
31,706.0,225.0,86.0,66.0,1
32,850.0,0.0,72.0,72.0,1
33,524.0,762.0,77.0,63.0,1
34,755.0,167.0,67.0,69.0,1
35,718.0,654.0,60.0,68.0,1
36,408.0,478.0,81.0,70.0,1
37,933.0,612.0,91.0,70.0,1
38,463.0,889.0,100.0,74.0,1
39,774.0,392.0,71.0,82.0,1
40,7.0,690.0,112.0,86.0,1
41,934.0,0.0,78.0,55.0,1
42,359.0,564.0,60.0,79.0,1
43,597.0,821.0,83.0,67.0,1
44,208.0,208.0,83.0,78.0,1
45,367.0,752.0,89.0,69.0,1
46,815.0,772.0,96.0,101.0,1
47,322.0,828.0,121.0,87.0,1
48,751.0,761.0,83.0,68.0,1
49,787.0,720.0,56.0,57.0,1
50,234.0,380.0,52.0,79.0,1
51,175.0,332.0,63.0,109.0,1
52,373.0,690.0,74.0,65.0,1
53,449.0,574.0,89.0,73.0,1
